Iteration,Cost,Cost reduction,time (ms)
0,57.4038,0.191347,1664.61
1,36.3821,0.487482,3362.73
2,24.7786,0.650942,5171.03
3,23.0631,0.675109,6977.44
4,17.5746,0.752426,8843.89
5,17.5746,0.752426,10635.4
