Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
2.072,0,10,1.116,0.241,0.373,0,0,0
2.277,0,10,1.24,0.247,0.44,0,0,0
2.516,0,10,1.341,0.286,0.484,0,0,0
2.26,0,10,1.167,0.236,0.44,0,0,0
1.934,0,10,0.981,0.221,0.432,0,0,0
2.571,0,10,1.236,0.242,0.653,0,0,0
2.108,0,10,1.148,0.248,0.379,0,0,0
1.927,0,10,1.022,0.235,0.361,0,0,0
1.918,0,10,1.009,0.24,0.36,0,0,0
1.879,0,10,0.867,0.245,0.42,0,0,0
2.048,0,10,1.089,0.229,0.388,0,0,0
1.899,0,10,0.958,0.24,0.337,0,0,0
2.195,0,10,1.228,0.248,0.362,0,0,0
1.813,0,10,0.924,0.234,0.332,0,0,0
1.82,0,10,0.9,0.239,0.385,0,0,0
2.028,0,10,1.075,0.237,0.365,0,0,0
1.784,0,10,0.928,0.235,0.334,0,0,0
2.118,0,10,0.92,0.24,0.541,0,0,0
1.843,0,10,0.885,0.25,0.359,0,0,0
1.821,0,10,0.849,0.235,0.428,0,0,0
1.884,0,10,1.024,0.237,0.321,0,0,0
1.783,0,10,0.917,0.236,0.338,0,0,0
1.674,0,10,0.849,0.234,0.317,0,0,0
2.322,0,10,1.139,0.231,0.627,0,0,0
1.953,0,10,1.031,0.248,0.34,0,0,0
1.748,0,10,0.87,0.235,0.342,0,0,0
1.724,0,10,0.846,0.236,0.338,0,0,0
1.767,0,10,0.88,0.228,0.378,0,0,0
1.856,0,10,0.939,0.229,0.376,0,0,0
1.671,0,10,0.78,0.243,0.347,0,0,0
1.87,0,10,0.851,0.245,0.343,0,0,0
1.851,0,10,0.891,0.311,0.342,0,0,0
1.696,0,10,0.786,0.235,0.395,0,0,0
1.871,0,10,1.019,0.24,0.326,0,0,0
1.687,0,10,0.857,0.236,0.317,0,0,0
1.736,0,10,0.834,0.24,0.386,0,0,0
1.761,0,10,0.875,0.247,0.326,0,0,0
1.691,0,10,0.806,0.24,0.364,0,0,0
1.728,0,10,0.897,0.236,0.316,0,0,0
1.624,0,10,0.819,0.234,0.311,0,0,0
1.607,0,10,0.76,0.235,0.321,0,0,0
1.774,0,10,0.789,0.253,0.446,0,0,0
1.864,0,10,0.857,0.243,0.433,0,0,0
1.898,0,10,1.031,0.237,0.333,0,0,0
1.877,0,10,1.015,0.234,0.331,0,0,0
1.935,0,10,0.931,0.234,0.462,0,0,0
2.204,0,10,1.277,0.233,0.39,0,0,0
2.474,0,10,1.104,0.236,0.816,0,0,0
2.168,0,10,1.2,0.246,0.359,0,0,0
1.962,0,10,1.044,0.236,0.366,0,0,0
2.053,0,10,0.888,0.235,0.604,0,0,0
2.196,0,10,1.159,0.24,0.469,0,0,0
1.926,0,10,0.972,0.239,0.386,0,0,0
1.783,0,10,0.845,0.237,0.363,0,0,0
1.957,0,10,0.986,0.247,0.371,0,0,0
1.742,0,10,0.817,0.238,0.363,0,0,0
1.964,0,10,0.98,0.237,0.437,0,0,0
1.875,0,10,0.935,0.236,0.382,0,0,0
2.025,0,10,1.073,0.24,0.369,0,0,0
2.538,0,10,1.036,0.237,0.923,0,0,0
2.018,0,10,1.026,0.246,0.375,0,0,0
2.016,0,10,0.986,0.244,0.443,0,0,0
2.146,0,10,1.158,0.231,0.414,0,0,0
1.966,0,10,1.039,0.235,0.373,0,0,0
1.918,0,10,1.006,0.233,0.369,0,0,0
2.112,0,10,0.973,0.237,0.523,0,0,0
1.976,0,10,0.913,0.277,0.43,0,0,0
1.961,0,10,1.024,0.234,0.363,0,0,0
1.912,0,10,0.986,0.234,0.374,0,0,0
1.871,0,10,0.924,0.236,0.388,0,0,0
2.001,0,10,1,0.22,0.445,0,0,0
2.465,0,10,1.085,0.236,0.775,0,0,0
2.124,0,10,1.111,0.246,0.387,0,0,0
1.791,0,10,0.844,0.234,0.372,0,0,0
1.879,0,10,0.937,0.234,0.379,0,0,0
1.909,0,10,0.904,0.219,0.455,0,0,0
2.071,0,10,1.111,0.234,0.378,0,0,0
2.401,0,10,1.056,0.239,0.771,0,0,0
1.993,0,10,0.982,0.248,0.387,0,0,0
1.772,0,10,0.832,0.235,0.359,0,0,0
2.054,0,10,0.986,0.249,0.459,0,0,0
1.933,0,10,0.975,0.235,0.405,0,0,0
1.945,0,10,1.016,0.235,0.368,0,0,0
2.426,0,10,0.953,0.24,0.876,0,0,0
2.21,0,10,0.952,0.263,0.388,0,0,0
1.759,0,10,0.808,0.237,0.382,0,0,0
1.826,0,10,0.868,0.234,0.388,0,0,0
1.861,0,10,0.893,0.237,0.388,0,0,0
2.019,0,10,0.935,0.249,0.479,0,0,0
2.449,0,10,1.147,0.243,0.683,0,0,0
2.158,0,10,1.084,0.248,0.379,0,0,0
1.927,0,10,0.962,0.24,0.378,0,0,0
1.932,0,10,0.933,0.237,0.426,0,0,0
2.075,0,10,1.174,0.234,0.357,0,0,0
1.947,0,10,1.013,0.234,0.371,0,0,0
1.83,0,10,0.887,0.238,0.381,0,0,0
1.925,0,10,0.952,0.247,0.359,0,0,0
1.873,0,10,0.897,0.238,0.417,0,0,0
1.831,0,10,0.922,0.241,0.346,0,0,0
1.799,0,10,0.874,0.234,0.356,0,0,0
1.792,0,10,0.869,0.235,0.37,0,0,0
2.415,0,10,0.863,0.261,0.961,0,0,0
1.861,0,10,0.881,0.249,0.38,0,0,0
1.864,0,10,0.946,0.233,0.375,0,0,0
1.774,0,10,0.863,0.238,0.361,0,0,0
1.708,0,10,0.796,0.235,0.356,0,0,0
2.092,0,10,1.079,0.22,0.468,0,0,0
2.48,0,10,1.167,0.23,0.713,0,0,0
2.093,0,10,1.086,0.249,0.374,0,0,0
1.973,0,10,1.053,0.237,0.366,0,0,0
1.853,0,10,0.945,0.236,0.346,0,0,0
1.829,0,10,0.901,0.228,0.388,0,0,0
1.869,0,10,0.997,0.237,0.345,0,0,0
1.977,0,10,0.951,0.235,0.364,0,0,0
1.963,0,10,0.971,0.246,0.37,0,0,0
1.987,0,10,0.995,0.235,0.43,0,0,0
2.014,0,10,1.067,0.229,0.407,0,0,0
2.071,0,10,1.041,0.239,0.458,0,0,0
1.931,0,10,0.957,0.235,0.364,0,0,0
1.948,0,10,0.866,0.272,0.496,0,0,0
1.885,0,10,0.874,0.262,0.389,0,0,0
2.052,0,10,1.006,0.259,0.457,0,0,0
1.868,0,10,0.943,0.243,0.372,0,0,0
1.813,0,10,0.873,0.239,0.385,0,0,0
1.871,0,10,0.866,0.237,0.444,0,0,0
2.192,0,10,1.082,0.23,0.501,0,0,0
1.809,0,10,0.858,0.254,0.351,0,0,0
1.86,0,10,0.927,0.239,0.361,0,0,0
1.769,0,10,0.826,0.239,0.375,0,0,0
1.839,0,10,0.834,0.241,0.423,0,0,0
1.953,0,10,1.01,0.238,0.367,0,0,0
2.414,0,10,1.063,0.238,0.776,0,0,0
2.166,0,10,1.134,0.245,0.396,0,0,0
2,0,10,1.038,0.237,0.377,0,0,0
2.117,0,10,1.056,0.249,0.478,0,0,0
2.081,0,10,1.149,0.235,0.381,0,0,0
1.961,0,10,1.034,0.237,0.356,0,0,0
1.897,0,10,0.972,0.238,0.366,0,0,0
1.868,0,10,0.877,0.246,0.368,0,0,0
1.877,0,10,0.886,0.235,0.422,0,0,0
1.961,0,10,1.06,0.233,0.363,0,0,0
1.907,0,10,0.997,0.24,0.351,0,0,0
1.662,0,10,0.771,0.234,0.359,0,0,0
1.719,0,10,0.819,0.244,0.38,0,0,0
1.869,0,10,0.799,0.249,0.477,0,0,0
1.83,0,10,0.914,0.232,0.397,0,0,0
1.701,0,10,0.826,0.232,0.347,0,0,0
1.7,0,10,0.815,0.234,0.356,0,0,0
1.717,0,10,0.782,0.227,0.417,0,0,0
2.619,0,10,1.198,0.415,0.71,0,0,0
2.032,0,10,1.056,0.248,0.362,0,0,0
1.904,0,10,0.978,0.237,0.372,0,0,0
1.88,0,10,0.935,0.235,0.373,0,0,0
2.194,0,10,1.222,0.233,0.415,0,0,0
1.93,0,10,0.969,0.239,0.358,0,0,0
1.866,0,10,0.989,0.239,0.354,0,0,0
1.981,0,10,0.912,0.246,0.45,0,0,0
1.932,0,10,0.979,0.239,0.393,0,0,0
1.837,0,10,0.917,0.24,0.359,0,0,0
1.762,0,10,0.86,0.236,0.347,0,0,0
1.821,0,10,0.841,0.237,0.415,0,0,0
1.822,0,10,0.918,0.239,0.332,0,0,0
1.902,0,10,0.938,0.246,0.35,0,0,0
1.71,0,10,0.835,0.237,0.326,0,0,0
1.831,0,10,0.808,0.236,0.483,0,0,0
1.875,0,10,0.839,0.253,0.45,0,0,0
1.991,0,10,1.078,0.237,0.34,0,0,0
1.945,0,10,0.912,0.239,0.37,0,0,0
1.909,0,10,0.931,0.249,0.363,0,0,0
1.795,0,10,0.865,0.237,0.366,0,0,0
1.883,0,10,0.914,0.253,0.407,0,0,0
2.076,0,10,1.067,0.238,0.401,0,0,0
1.928,0,10,0.915,0.376,0.342,0,0,0
2.286,0,10,0.886,0.236,0.821,0,0,0
2.229,0,10,1.139,0.247,0.368,0,0,0
1.865,0,10,0.889,0.248,0.425,0,0,0
2.064,0,10,1.139,0.235,0.369,0,0,0
1.885,0,10,0.984,0.234,0.368,0,0,0
1.82,0,10,0.908,0.236,0.363,0,0,0
2.076,0,10,0.944,0.223,0.526,0,0,0
2.054,0,10,0.946,0.262,0.464,0,0,0
1.928,0,10,1.014,0.236,0.356,0,0,0
1.902,0,10,0.95,0.24,0.389,0,0,0
1.87,0,10,0.935,0.236,0.37,0,0,0
2.086,0,10,1.051,0.232,0.48,0,0,0
2.165,0,10,1.088,0.241,0.446,0,0,0
1.983,0,10,0.991,0.246,0.366,0,0,0
1.888,0,10,0.979,0.24,0.356,0,0,0
1.857,0,10,0.843,0.236,0.358,0,0,0
2.161,0,10,1.185,0.237,0.415,0,0,0
1.978,0,10,0.952,0.238,0.445,0,0,0
2.976,0,10,1.145,0.335,1.169,0,0,0
2.229,0,10,1.139,0.249,0.454,0,0,0
2.269,0,10,1.267,0.235,0.425,0,0,0
2.13,0,10,1.158,0.238,0.364,0,0,0
2.01,0,10,1.064,0.24,0.367,0,0,0
1.83,0,10,0.862,0.238,0.404,0,0,0
2.588,0,10,1.144,0.232,0.881,0,0,0
2.407,0,10,1.385,0.246,0.387,0,0,0
2.236,0,10,1.279,0.239,0.379,0,0,0
2.07,0,10,1.107,0.236,0.388,0,0,0
2.127,0,10,1.127,0.219,0.423,0,0,0
2.261,0,10,1.286,0.233,0.37,0,0,0
2.475,0,10,1.027,0.239,0.779,0,0,0
2.154,0,10,1.118,0.244,0.368,0,0,0
1.915,0,10,0.965,0.235,0.39,0,0,0
2.082,0,10,1.065,0.229,0.428,0,0,0
2.118,0,10,1.126,0.235,0.379,0,0,0
2.067,0,10,1.105,0.235,0.387,0,0,0
2.387,0,10,1.079,0.236,0.722,0,0,0
2.14,0,10,1.041,0.25,0.404,0,0,0
1.979,0,10,0.928,0.231,0.461,0,0,0
2.175,0,10,1.165,0.237,0.401,0,0,0
2.093,0,10,1.091,0.234,0.407,0,0,0
2.134,0,10,1.056,0.237,0.478,0,0,0
2.549,0,10,1.145,0.234,0.777,0,0,0
2.275,0,10,1.182,0.246,0.405,0,0,0
2.007,0,10,0.995,0.236,0.411,0,0,0
2.176,0,10,1.035,0.261,0.527,0,0,0
2.256,0,10,1.246,0.23,0.427,0,0,0
2.084,0,10,1.111,0.234,0.398,0,0,0
2.348,0,10,1.036,0.238,0.652,0,0,0
2.037,0,10,0.989,0.246,0.407,0,0,0
2.146,0,10,1.032,0.252,0.503,0,0,0
2.35,0,10,1.309,0.24,0.399,0,0,0
2.015,0,10,1.042,0.236,0.393,0,0,0
1.944,0,10,0.949,0.237,0.402,0,0,0
2.487,0,10,1.137,0.233,0.735,0,0,0
2.125,0,10,1.033,0.261,0.442,0,0,0
2.188,0,10,1.202,0.237,0.397,0,0,0
2.047,0,10,1.03,0.234,0.415,0,0,0
2.049,0,10,1.03,0.234,0.44,0,0,0
2.094,0,10,1.034,0.22,0.503,0,0,0
2.551,0,10,1.142,0.239,0.756,0,0,0
2.238,0,10,1.163,0.249,0.399,0,0,0
2.005,0,10,1.058,0.236,0.393,0,0,0
1.946,0,10,0.994,0.236,0.387,0,0,0
2.149,0,10,1.175,0.223,0.421,0,0,0
1.967,0,10,1.04,0.233,0.361,0,0,0
1.929,0,10,0.947,0.237,0.366,0,0,0
1.865,0,10,0.877,0.246,0.37,0,0,0
1.738,0,10,0.79,0.236,0.395,0,0,0
1.862,0,10,0.942,0.229,0.371,0,0,0
1.893,0,10,0.966,0.238,0.363,0,0,0
2.06,0,10,1.126,0.239,0.362,0,0,0
2.454,0,10,1.171,0.241,0.728,0,0,0
1.981,0,10,1.014,0.248,0.375,0,0,0
1.895,0,10,1.039,0.235,0.328,0,0,0
1.89,0,10,1.04,0.235,0.325,0,0,0
1.87,0,10,1.032,0.235,0.325,0,0,0
2.005,0,10,1.051,0.296,0.388,0,0,0
1.928,0,10,1.057,0.242,0.338,0,0,0
2.094,0,10,1.169,0.244,0.373,0,0,0
1.776,0,10,0.983,0.236,0.297,0,0,0
1.777,0,10,0.978,0.24,0.301,0,0,0
1.848,0,10,0.972,0.25,0.371,0,0,0
1.877,0,10,1.078,0.239,0.302,0,0,0
1.835,0,10,1.035,0.24,0.294,0,0,0
1.802,0,10,0.95,0.25,0.306,0,0,0
1.674,0,10,0.89,0.241,0.285,0,0,0
1.578,0,10,0.821,0.236,0.272,0,0,0
1.893,0,10,0.944,0.33,0.379,0,0,0
1.613,0,10,0.853,0.233,0.278,0,0,0
1.545,0,10,0.794,0.235,0.277,0,0,0
1.621,0,10,0.804,0.246,0.284,0,0,0
1.557,0,10,0.788,0.237,0.286,0,0,0
1.538,0,10,0.767,0.229,0.292,0,0,0
1.604,0,10,0.855,0.234,0.277,0,0,0
1.546,0,10,0.794,0.234,0.283,0,0,0
1.575,0,10,0.749,0.238,0.341,0,0,0
1.632,0,10,0.809,0.248,0.29,0,0,0
1.712,0,10,0.868,0.224,0.371,0,0,0
1.795,0,10,0.968,0.235,0.324,0,0,0
1.697,0,10,0.872,0.234,0.31,0,0,0
1.669,0,10,0.79,0.235,0.376,0,0,0
2.423,0,10,1.061,0.23,0.842,0,0,0
1.824,0,10,0.936,0.249,0.319,0,0,0
1.759,0,10,0.803,0.312,0.344,0,0,0
1.69,0,10,0.791,0.22,0.398,0,0,0
1.844,0,10,0.957,0.233,0.338,0,0,0
1.692,0,10,0.862,0.234,0.32,0,0,0
2.115,0,10,0.932,0.437,0.456,0,0,0
1.778,0,10,0.883,0.25,0.33,0,0,0
1.769,0,10,0.882,0.238,0.353,0,0,0
1.943,0,10,1.073,0.237,0.325,0,0,0
1.703,0,10,0.793,0.235,0.392,0,0,0
1.73,0,10,0.82,0.235,0.402,0,0,0
1.779,0,10,0.918,0.239,0.351,0,0,0
1.807,0,10,0.844,0.242,0.381,0,0,0
1.834,0,10,0.889,0.234,0.376,0,0,0
1.741,0,10,0.893,0.234,0.34,0,0,0
1.691,0,10,0.842,0.234,0.325,0,0,0
1.932,0,10,1.036,0.232,0.382,0,0,0
1.738,0,10,0.89,0.238,0.311,0,0,0
1.883,0,10,0.948,0.245,0.34,0,0,0
1.742,0,10,0.869,0.236,0.343,0,0,0
1.642,0,10,0.777,0.234,0.346,0,0,0
1.917,0,10,1.033,0.227,0.357,0,0,0
1.777,0,10,0.914,0.233,0.342,0,0,0
1.782,0,10,0.89,0.239,0.337,0,0,0
1.798,0,10,0.854,0.249,0.347,0,0,0
1.804,0,10,0.931,0.238,0.339,0,0,0
1.833,0,10,0.908,0.218,0.435,0,0,0
1.828,0,10,0.988,0.234,0.325,0,0,0
1.663,0,10,0.834,0.234,0.325,0,0,0
1.929,0,10,0.846,0.234,0.495,0,0,0
1.842,0,10,0.886,0.251,0.347,0,0,0
1.808,0,10,0.877,0.23,0.4,0,0,0
1.808,0,10,0.961,0.235,0.332,0,0,0
1.793,0,10,0.864,0.238,0.373,0,0,0
1.694,0,10,0.824,0.236,0.342,0,0,0
1.961,0,10,0.957,0.236,0.454,0,0,0
2.02,0,10,1.031,0.253,0.347,0,0,0
1.841,0,10,0.884,0.235,0.369,0,0,0
1.787,0,10,0.878,0.236,0.348,0,0,0
1.791,0,10,0.861,0.227,0.395,0,0,0
2.107,0,10,1.204,0.236,0.368,0,0,0
2.002,0,10,1.065,0.24,0.366,0,0,0
2.103,0,10,1.15,0.258,0.357,0,0,0
1.825,0,10,0.888,0.239,0.367,0,0,0
1.92,0,10,0.952,0.229,0.408,0,0,0
1.961,0,10,0.952,0.233,0.436,0,0,0
1.908,0,10,0.934,0.239,0.339,0,0,0
2.522,0,10,1.226,0.231,0.707,0,0,0
2.351,0,10,1.33,0.256,0.398,0,0,0
2.112,0,10,1.132,0.221,0.452,0,0,0
1.955,0,10,1.061,0.235,0.368,0,0,0
1.879,0,10,0.981,0.236,0.357,0,0,0
1.787,0,10,0.833,0.234,0.428,0,0,0
2.105,0,10,1.007,0.228,0.539,0,0,0
1.932,0,10,0.921,0.241,0.403,0,0,0
1.891,0,10,0.933,0.238,0.401,0,0,0
1.72,0,10,0.798,0.236,0.369,0,0,0
1.875,0,10,0.841,0.239,0.474,0,0,0
2.059,0,10,1.066,0.236,0.426,0,0,0
2.706,0,10,1.212,0.235,0.902,0,0,0
2.114,0,10,1.124,0.245,0.377,0,0,0
1.925,0,10,0.956,0.246,0.37,0,0,0
2.319,0,10,0.978,0.314,0.664,0,0,0
2.216,0,10,1.162,0.231,0.445,0,0,0
2.157,0,10,1.153,0.236,0.409,0,0,0
2.418,0,10,1.076,0.239,0.703,0,0,0
2.21,0,10,1.03,0.248,0.494,0,0,0
2.188,0,10,1.171,0.241,0.406,0,0,0
2.107,0,10,1.106,0.237,0.385,0,0,0
2.218,0,10,1.218,0.236,0.393,0,0,0
2.124,0,10,1.049,0.256,0.484,0,0,0
3.099,0,10,1.569,0.474,0.668,0,0,0
2.102,0,10,1.055,0.245,0.388,0,0,0
1.98,0,10,1.026,0.236,0.386,0,0,0
2.119,0,10,1.083,0.235,0.449,0,0,0
2.06,0,10,1.037,0.23,0.427,0,0,0
1.923,0,10,0.953,0.234,0.39,0,0,0
1.856,0,10,0.876,0.238,0.385,0,0,0
2.081,0,10,1.05,0.246,0.386,0,0,0
1.909,0,10,0.945,0.237,0.391,0,0,0
1.875,0,10,0.929,0.236,0.383,0,0,0
2.063,0,10,0.973,0.235,0.519,0,0,0
2.11,0,10,1.092,0.234,0.39,0,0,0
2.012,0,10,1.009,0.25,0.399,0,0,0
2.073,0,10,1.023,0.245,0.398,0,0,0
1.877,0,10,0.891,0.235,0.401,0,0,0
2.228,0,10,1.203,0.234,0.427,0,0,0
2.227,0,10,1.237,0.234,0.418,0,0,0
