Iteration,Cost,Cost reduction,time (ms)
0,31.5409,0.229255,172.228
1,31.5409,0.229255,307.164
2,30.6583,0.250823,368.007
3,14.4187,0.647661,506.301
4,11.4339,0.720598,651.522
5,11.4339,0.720598,793.038
