Iteration,Cost,Cost reduction,time (ms)
0,23.9773,0.850638,13.042
1,5.07288,0.968399,23.17
2,3.15787,0.980329,33.024
3,2.537,0.984196,42.136
4,2.537,0.984196,50.337
5,2.537,0.984196,55.639
6,2.537,0.984196,61.295
