Iteration,Cost,Cost reduction,time (ms)
0,7.31644,0.756549,606.473
1,7.31644,0.756549,1197.84
2,7.31644,0.756549,1290.52
3,7.31644,0.756549,1373.86
4,7.31644,0.756549,1450.11
5,7.31644,0.756549,1528.09
