Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.68331,22.2015,122.286,1,9,36.5,9.807,0.146,6.853,0.141,2.664,103.899,1.697
0,46.786,90.354,1,9,44.5,10.07,0.145,7.581,0.13,2.211,76.24,1.621
0,50.8442,109.923,1,9,37,8.076,0.156,5.445,0.1,2.373,98.03,1.592
0.679411,50.3858,66.96,1,9,28.5,6.856,0.149,4.355,0.104,2.245,56.024,1.566
0.52002,17.2063,142.014,1,9,39,8.881,0.126,6.452,0.085,2.215,128.872,1.695
0,49.7031,88.684,1,9,25.5,7.367,0.137,4.752,0.128,2.347,77.336,1.7
0,38.8485,60.514,1,9,19,5.88,0.126,3.591,0.089,2.071,50.683,1.788
0.583054,23.1843,82.225,1,9,22,6.003,0.14,3.612,0.103,2.146,72.037,1.67
0,21.1866,105.494,1,9,24,7.981,0.13,5.33,0.117,2.402,93.39,1.686
0.163285,133.446,61.212,1,9,26,7.59,0.138,5.28,0.071,2.099,49.214,1.686
0,65.5356,84.568,1,9,38,9.335,0.133,6.814,0.143,2.243,71.205,1.67
0,25.4978,95.751,1,9,19,5.916,0.139,3.584,0.092,2.098,85.639,1.827
0,35.7983,390.007,1,9,32.5,7.905,0.16,5.325,0.115,2.303,378.142,1.618
0.375834,39.1346,64.924,1,9,32,7.32,0.164,4.716,0.099,2.339,53.513,1.57
0.576578,73.5365,52.828,1,9,50,11.006,0.151,8.359,0.146,2.347,37.547,1.613
0,29.8624,82.498,1,9,11,4.553,0.112,2.22,0.083,2.136,73.605,1.991
0.0641288,127.44,103.178,1,9,17,6.176,0.128,3.308,0.09,2.648,92.924,1.521
0.0534617,97.0834,65.626,1,9,45,12.128,0.143,9.515,0.104,2.365,49.178,1.61
0.0339273,110.834,68.943,1,9,28,7.694,0.124,5.218,0.102,2.248,57.145,1.592
0,47.5233,391.7,1,9,54.5,12.839,0.151,10.207,0.132,2.347,374.734,1.612
0,92.8628,104.736,1,9,38.5,7.588,0.165,5.073,0.123,2.223,93.316,1.626
0,31.6446,100.64,1,9,36,8.131,0.158,5.639,0.084,2.248,88.731,1.632
0.656276,37.2906,67.843,1,9,34.5,9.522,0.178,6.797,0.113,2.432,53.988,1.57
0.0831796,93.5317,80.9,1,9,34.5,9.054,0.132,6.425,0.101,2.394,67.73,1.598
0.738968,25.011,394.549,1,9,42,10.311,0.138,7.802,0.096,2.273,379.944,1.736
0,122.529,140.94,1,9,22.5,6.787,0.13,4.302,0.112,2.241,130.165,1.572
0.638444,38.5784,62.063,1,9,49,11.118,0.173,8.616,0.127,2.2,46.668,1.629
0,53.4732,80.037,1,9,36,8.275,0.132,5.644,0.081,2.416,68.077,1.553
