Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.994537,2.08119,95.338,8,2,17.125,8.3,0.563,3.427,0.155,4.145,70.473,10.65
0.743208,404.022,96.784,7,2,18.6857,8.037,0.55,3.188,0.127,4.16,73.9,9.31
0.921915,70.177,112.654,10,2,27.34,13.837,0.953,6.002,0.219,6.645,77.971,13.403
0.905643,0.848721,109.573,9,2,13.1556,8.2,0.519,3.148,0.117,4.406,83.106,11.983
0.664976,401.154,116.82,7,2,17.2286,6.769,0.465,2.81,0.108,3.378,95.207,9.39
0.975054,8.35604,55.113,7,2,12.8571,5.025,0.355,2.081,0.104,2.48,35.292,9.567
0.48122,0.64806,147.809,10,2,13.3,9.72,0.703,3.572,0.147,5.285,117.23,13.411
0.923659,1.67155,96.468,7,2,22.7714,8.685,0.591,3.722,0.157,4.207,72.868,9.295
0.921463,0.571877,119.97,8,2,13.325,7.843,0.498,3.026,0.109,4.2,95.238,10.596
0.775625,3.57175,88.075,7,2,20.8286,7.07,0.505,3.191,0.12,3.245,66.135,9.488
0.979268,8.35705,83.187,7,2,11.5429,4.799,0.322,1.945,0.072,2.453,63.952,9.415
0.947104,62.9757,121.736,10,2,29.4,14.18,1.008,6.372,0.231,6.552,85.915,13.761
0.865485,2.15588,102.111,7,2,22.8,8.309,0.59,3.51,0.147,4.049,78.575,9.534
0.924425,2.00082,127.523,7,2,15.7143,6.566,0.439,2.68,0.096,3.343,106.284,9.35
0.985591,3.52245,64.336,7,2,22.5143,7.427,0.506,3.446,0.114,3.353,41.898,9.586
0.983732,4.10769,114.244,7,2,15,5.653,0.387,2.425,0.087,2.748,93.812,9.569
0.727381,396.019,90.389,7,2,11.4286,5.043,0.339,1.877,0.092,2.731,70.381,9.552
0.916433,68.9653,103.717,7,2,16.6857,7.085,0.504,2.952,0.109,3.511,80.985,9.734
0.904824,12.6011,99.12,7,2,24.3429,9.781,0.608,3.946,0.168,5.048,72.074,11.127
0.98288,6.617,132.871,10,2,18.78,22.946,1.149,14.253,0.305,7.22,84.993,14.814
0.992781,2.66031,127.494,10,2,19.84,11.755,0.979,4.812,0.181,5.772,93.167,13.806
0.716593,440.648,102.586,7,2,14.9143,6.59,0.432,2.528,0.104,3.517,81.241,9.503
0.986252,2.27575,117.307,9,2,17,8.471,0.588,3.498,0.155,4.218,90.187,12.04
0.964845,0.011529,76.88,10,2,6.82,11.787,0.67,3.618,0.149,7.334,43.834,13.247
0.709788,419.149,102.479,8,2,11,6.137,0.407,2.42,0.096,3.206,79.473,10.984
0.790396,3.17839,74.781,7,2,13.7714,5.125,0.355,2.136,0.076,2.553,55.224,9.333
0.990444,1.473,103.96,8,2,14.425,9.232,0.57,3.444,0.141,5.066,77.365,10.976
0.923813,29.4741,82.76,7,2,23.6571,11.123,0.77,4.314,0.154,5.872,54.893,9.967
0.937504,23.8698,103.882,10,2,16.14,9.816,0.647,3.882,0.163,5.114,73.095,13.739
0.957894,1.98343,139.868,8,2,15.175,6.728,0.462,2.791,0.116,3.353,116.535,10.661
0.678971,406.021,140.011,7,2,11.2,4.569,0.313,1.806,0.077,2.368,120.983,9.224
0.980323,1.43225,149.514,10,2,18.42,11.765,0.838,4.863,0.186,5.863,116.71,13.391
0.978391,1.33234,111.179,7,2,18.9714,8.445,0.63,3.331,0.127,4.347,87.666,9.433
0.938805,2.34032,125.237,7,2,22.6286,8.573,0.576,3.555,0.144,4.287,101.65,9.444
0.635075,413.927,101.945,8,2,33.575,12.504,0.882,5.624,0.188,5.796,72.443,10.641
0.953661,2.14901,106.119,7,2,19.1714,7.066,0.472,3.083,0.109,3.394,84.29,9.371
0.743599,408.934,79.787,7,2,11.2857,6.124,0.402,2.325,0.107,3.281,58.892,9.367
0.941884,2.77822,85.805,7,2,15.0286,6.64,0.451,2.661,0.108,3.414,64.146,9.501
0.872961,2.54645,67.806,7,2,17.6286,6.847,0.479,2.82,0.126,3.415,45.94,9.529
