Iteration,Cost,Cost reduction,time (ms)
0,0.805195,0,51.163
1,0.602446,0.251801,70.525
2,0.602446,0.251801,96.331
3,0.566734,0.296154,112.716
4,0.561663,0.302452,124.004
5,0.42502,0.472154,133.58
6,0.42502,0.472154,139.083
