Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.284295,32.9777,1028.59,5,31,0.12,221.848,0.016,39.296,11.238,171.288,0,354.411
0.802271,9.06308,2397.75,10,31,0.2,765.816,0.055,157.62,39.202,568.904,0,777.973
0.552435,18.1332,1376.76,6,31,0.166667,382.039,0.028,68.45,20.437,293.108,0,450.305
0.639716,16.5295,2097.92,9,31,0.177778,625.838,0.047,118.743,31.402,475.611,0,672.93
0.843515,7.38194,2432.6,10,31,0.18,703.206,0.056,130.85,38.207,534.056,0,847.261
0.321834,31.5914,1380.15,6,31,0.166667,382.508,0.03,71.184,20.388,290.886,0,462.953
0.75087,11.4599,1696.17,7,31,0.2,533.115,0.04,96.741,25.973,410.337,0,542.023
0.433992,25.2796,1112.88,5,31,0.16,296.94,0.022,52.866,15.899,228.139,0,365.404
0.573966,18.1427,1049.35,5,31,0.12,221.917,0.015,40.815,11.097,169.977,0,381.526
0.803466,9.1971,1460.78,6,31,0.2,457.624,0.036,79.914,26.178,351.476,0,460.703
0.318541,28.8205,1023.8,5,31,0.12,225.491,0.017,42.911,11.975,170.578,0,347.654
0.566425,18.5284,1136.62,5,31,0.16,311.272,0.022,61.972,15.243,234.019,0,375.02
0.554834,19.7927,1239.73,5,31,0.2,380.607,0.027,68.939,19.184,292.439,0,397.316
0.273104,30.9842,1206.96,5,31,0.2,378.848,0.027,68.246,20.501,290.055,0,373.134
0.347309,29.2378,1127.76,5,31,0.16,301.273,0.023,54.168,16.236,230.832,0,373.554
0.509598,23.3929,1472.39,6,31,0.2,463.345,0.035,87.269,23.028,352.988,0,469.97
0.36468,27.3153,1133.92,5,31,0.16,302.477,0.024,54.008,15.015,233.417,0,377.362
0.663808,13.3157,1120.29,5,31,0.16,300.735,0.021,56.222,14.903,229.573,0,364.497
0.687322,15.3532,1448.59,6,31,0.2,451.45,0.034,79.082,23.528,348.785,0,453.047
0.266138,32.2258,1040.41,5,31,0.12,220.637,0.016,39.334,10.736,170.539,0,369.018
0.520233,20.2298,1356.85,6,31,0.166667,380.456,0.028,69.731,20.985,289.695,0,445.201
