Iteration,Cost,Cost reduction,time (ms)
0,1039.252348490242,0.0,6223.886489868164
1,199.3849741139854,0.8081457555485547,11207.313299179077
2,162.99589030996214,0.84316043110535,16417.278051376343
3,114.7308004892715,0.8896025583623218,22518.47529411316
4,74.27334947199033,0.9285319397354359,25378.56936454773
5,69.90647393360689,0.9327338792785386,28587.215423583984
6,55.53565103025201,0.946561919142227,30975.90160369873
7,33.458822671085166,0.9678049102129123,44759.5329284668
8,7.596447542147428,0.9926904687266928,47207.823038101196
9,6.9759497910489925,0.9932875304047345,48987.958908081055
10,6.694137031141603,0.9935586991543811,51183.45594406128
11,6.672732267803787,0.9935792954641888,52578.73749732971
12,6.639374206290421,0.9936113935985464,53182.98101425171
13,6.343873096674203,0.993895733691735,54035.250425338745
14,6.257476201102309,0.9939788673942448,55115.63444137573
15,6.250081980984408,0.9939859823361822,56318.60613822937
16,6.2428080403490664,0.9939929815415686,57220.52526473999
17,6.219415989147183,0.9940154900797844,58630.12504577637
18,6.2170136780454675,0.9940178016560876,60295.43209075928
19,6.194627139494282,0.9940393426596597,61826.89380645752
20,6.190607924582594,0.9940432100696468,63621.339559555054
21,6.184668715793469,0.9940489249557356,64814.727544784546
22,6.183279053149836,0.9940502621311056,66113.25526237488
23,6.182962877273621,0.9940505663650837,67863.37304115295
