Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
4.942,0,19.1667,2.571,0.579,0.953,0,0,0
4.964,0,41.6667,2.635,0.62,0.921,0,0,0
5.025,0,39.7222,2.794,0.61,0.89,0,0,0
5.36,0,39.1667,3.099,0.618,0.832,0,0,0
9.383,0,38.75,2.922,1.641,4.049,0,0,0
4.994,0,38.4722,2.79,0.638,0.802,0,0,0
4.71,0,39.7222,2.47,0.619,0.856,0,0,0
5.108,0,40.1389,2.869,0.613,0.875,0,0,0
4.687,0,40.1389,2.46,0.617,0.848,0,0,0
11.291,0,42.0833,4.422,2.067,3.99,0,0,0
5.055,0,40.8333,2.725,0.625,0.888,0,0,0
4.891,0,40.4167,2.646,0.62,0.832,0,0,0
5.506,0,40,2.91,0.628,1.168,0,0,0
5.218,0,40.1389,3.028,0.62,0.818,0,0,0
5.124,0,40.6944,2.796,0.637,0.839,0,0,0
5.299,0,40.4167,3.06,0.627,0.842,0,0,0
4.937,0,40.6944,2.789,0.592,0.835,0,0,0
8.898,0,40.5556,3.267,2.004,2.787,0,0,0
4.887,0,40.2778,2.593,0.637,0.824,0,0,0
4.806,0,39.1667,2.663,0.62,0.778,0,0,0
4.805,0,39.1667,2.502,0.638,0.931,0,0,0
4.588,0,38.4722,2.455,0.623,0.761,0,0,0
4.815,0,38.3333,2.605,0.62,0.805,0,0,0
8.168,0,37.2222,2.784,0.815,3.733,0,0,0
4.865,0,37.5,2.573,0.631,0.857,0,0,0
5.114,0,40.8333,2.845,0.602,0.868,0,0,0
5.04,0,39.3056,2.68,0.619,0.916,0,0,0
4.951,0,40.8333,2.656,0.61,0.919,0,0,0
9.288,0,40.2778,4.094,1.992,2.356,0,0,0
5.067,0,39.3056,2.761,0.632,0.869,0,0,0
4.887,0,41.5278,2.613,0.619,0.87,0,0,0
4.786,0,42.2222,2.473,0.618,0.943,0,0,0
5.108,0,36.9444,2.804,0.612,0.866,0,0,0
8.996,0,37.7778,2.909,1.783,3.527,0,0,0
5.576,0,41.3889,3.142,0.642,0.924,0,0,0
5.681,0,41.25,3.107,0.654,1.013,0,0,0
5.434,0,42.2222,3.02,0.622,0.976,0,0,0
5.68,0,41.1111,3.144,0.637,1.014,0,0,0
