Iteration,Cost,Cost reduction,time (ms)
0,3.17673,0.622101,12.477
1,1.84747,0.780227,21.539
2,1.5829,0.8117,30.772
3,1.52496,0.818593,39.89
4,1.4913,0.822596,48.545
5,1.4913,0.822596,57.203
