Iteration,Cost,Cost reduction,time (ms)
0,10.1706,0.0911928,262.309
1,8.23616,0.264049,475.605
2,3.67952,0.671213,709.398
3,3.67952,0.671213,989.661
4,2.09162,0.813101,1128.99
5,1.79117,0.839948,1413.4
6,1.79117,0.839948,1726.16
