MSE,RMS,Max Error,% Derivatives
0.00211901,0.00356448,0.0909117,5.1
0.0040537,0.00573988,0.0682061,5.1
0.000243136,0.00131028,0.0101525,5.1
0.000222937,0.0012907,0.00525654,5.1
0.000266229,0.00142292,0.00403451,5.1
0.000277234,0.00145367,0.00385515,5.1
0.151512,0.0344747,4.73983,5.1
0.0287306,0.0143114,0.972907,5.1
0.00345638,0.00515087,0.0417373,5.1
0.0024579,0.00435549,0.0314903,5.1
0.00212363,0.00400642,0.0343065,5.1
0.00177141,0.00366968,0.0269851,5.1
0.0894916,0.0256168,3.45766,5.1
0.00882265,0.00821727,0.230309,5.1
0.00730828,0.00756752,0.238056,5.1
0.00476942,0.00617841,0.085783,5.1
0.00450494,0.00588235,0.134407,5.1
0.00421795,0.00576362,0.145934,5.1
0.563831,0.0962207,12.5099,5.1
0.198548,0.0543833,16.8504,5.1
0.12249,0.0385255,13.4147,5.1
0.0263436,0.0189783,1.04628,5.1
0.00576045,0.00913866,0.103234,5.1
0.00697763,0.0100957,0.171385,5.1
0.16251,0.0360337,6.89638,5.1
0.016724,0.0107069,0.758996,5.1
0.00122128,0.0030024,0.0183538,5.1
0.00118081,0.0029322,0.0168397,5.1
0.00117616,0.00292646,0.0194027,5.1
0.00121216,0.00296818,0.0197662,5.1
0.018193,0.0109198,0.702261,5.1
0.0121072,0.0105668,0.254628,5.1
0.00487967,0.00672356,0.165662,5.1
0.00406957,0.00621441,0.0711171,5.1
0.00348842,0.00575033,0.0370419,5.1
0.00313271,0.00535711,0.0346071,5.1
0.125173,0.0303021,4.59369,5.1
0.034957,0.019945,0.468043,5.1
0.0281791,0.0181036,0.441425,5.1
0.0162173,0.0150283,0.263904,5.1
0.124466,0.0421772,30.7232,5.1
0.355338,0.0778668,16.4149,5.1
0.251792,0.0458552,4.41588,5.1
0.0374099,0.0186522,0.959602,5.1
0.0591759,0.0264075,4.54049,5.1
0.253453,0.0563525,15.5438,5.1
0.144796,0.0418694,7.01196,5.1
0.209953,0.050325,38.4845,5.1
0.281958,0.056108,10.8868,5.1
0.32383,0.0629884,51.8948,5.1
0.343346,0.0632882,27.0877,5.1
0.358067,0.0622605,49.03,5.1
0.406081,0.0702874,48.1789,5.1
1.10609,0.108503,145.968,5.1
0.242033,0.0454132,5.17808,5.1
0.113385,0.0334924,3.22317,5.1
0.0813165,0.0265687,2.17508,5.1
0.0076112,0.00840634,0.0870459,5.1
1.00488,0.0980126,45.0572,5.1
0.0313261,0.0174768,1.65661,5.1
0.274413,0.0556783,10.0592,5.1
0.231809,0.0620853,9.56179,5.1
0.0796678,0.0371389,1.76567,5.1
0.00883781,0.0135341,0.334021,5.1
0.00678565,0.0109149,0.441978,5.1
0.00855701,0.0120992,0.602083,5.1
0.474835,0.0760917,23.9224,5.1
0.137929,0.0458086,5.36099,5.1
0.108878,0.0424791,12.9318,5.1
1.2344,0.169821,37.8356,5.1
1.21803,0.160361,54.3534,5.1
1.52408,0.203635,91.4337,5.1
0.062787,0.020275,3.0109,5.1
0.000656299,0.00199019,0.0238189,5.1
8.3197e-05,0.000715006,0.00453417,5.1
7.17679e-05,0.000663227,0.00336854,5.1
6.17175e-05,0.000614892,0.00238769,5.1
5.43729e-05,0.000576977,0.00167133,5.1
0.107024,0.0283614,3.95202,5.1
0.00344993,0.00480369,0.09436,5.1
0.000668792,0.00218084,0.0106049,5.1
0.000805489,0.00236539,0.0104133,5.1
0.000873632,0.00245676,0.0121916,5.1
0.000855997,0.00243389,0.0113831,5.1
0.703006,0.116346,16.4232,5.1
0.294789,0.0704365,10.1383,5.1
0.498179,0.0749996,28.3154,5.1
0.701259,0.0846086,115.102,5.1
0.261763,0.0487426,87.8378,5.1
0.290762,0.0575245,83.5722,5.1
0.62818,0.118923,22.1349,5.1
0.510672,0.0930297,60.8961,5.1
0.971205,0.135927,68.4367,5.1
1.2968,0.150538,111.15,5.1
0.971435,0.127651,228.766,5.1
0.806306,0.123521,69.6364,5.1
0.303229,0.0541161,14.595,5.1
0.0191614,0.0130086,0.779988,5.1
0.00272805,0.00468743,0.0718773,5.1
0.00152111,0.00340687,0.0233878,5.1
