Iteration,Cost,Cost reduction,time (ms)
0,59.752,0.121523,1563.05
1,49.813,0.267646,2313.36
2,37.8522,0.443496,3130.07
3,37.8522,0.443496,4146.83
4,37.8522,0.443496,4625.79
5,37.8522,0.443496,5095.81
