Iteration,Cost,Cost reduction,time (ms)
0,5.550698636846424,0.0,30.88974952697754
1,5.209645574899567,0.0614432676425436,171.83780670166016
2,4.589255541096829,0.17321118631218457,676.5570640563965
3,4.201864597950502,0.24300257087317734,2963.359594345093
4,3.9718763006649356,0.28443668796951316,3314.5875930786133
5,3.5926963217515935,0.35274880572641765,3737.534523010254
6,3.508901679113217,0.3678450392135204,4043.678045272827
7,3.3886825223336143,0.3895034221748235,4259.188890457153
8,3.2810427699567484,0.40889553106402454,4504.669904708862
9,3.281001769698734,0.40890291756808417,6241.805791854858
