Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
0.104357,10.8122,98.2357,6.9873,1.21554,1.49059,0.885696
3.72182,11.5739,98.0759,7.03765,1.19144,2.23112,0.511317
16.9497,11.9852,97.5216,7.06926,1.1837,2.60734,0.346868
0.129279,10.9226,98.1488,6.98001,1.21347,1.61147,0.799526
0.177895,11.0753,98.2145,7.03697,1.21014,1.7087,0.832849
0.212766,10.8352,98.1406,6.95588,1.21381,1.55715,0.842734
1.36516,11.313,97.8987,7.01324,1.19719,1.98874,0.651688
1.72835,11.2457,98.1396,7.09446,1.20431,1.82061,0.666389
0.194625,10.848,98.138,6.93136,1.21318,1.59608,0.823827
2.29902,11.5327,98.0531,7.11205,1.19865,2.09708,0.578939
