Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0,39.5529,617.083,1,13,100,497.832,0.068,474.055,0,23.706,56.249,30.338
0,39.7,596.017,1,13,100,505.581,0.073,481.76,0,23.745,26.153,30.084
0,39.1686,701.592,1,13,100,457.266,0.069,433.515,0,23.679,185.886,27.35
0.886268,5.31811,598.084,1,13,100,471.838,0.073,447.672,0,24.09,63.531,28.315
0.204006,36.2337,733.887,1,13,100,488.57,0.07,464.832,0,23.666,184.418,26.905
0.869005,5.17549,618.246,1,13,100,505.887,0.069,482.106,0,23.708,48.383,29.734
0,43.5619,708.416,1,13,100,466.73,0.069,442.975,0,23.684,188.04,22.737
0.163198,37.369,746.366,1,13,100,498.095,0.074,474.308,0,23.709,186.248,27.996
0,39.621,752.005,1,13,100,500.162,0.068,476.498,0,23.593,190.517,28.503
0.797936,7.80236,571.501,1,13,100,472.977,0.073,449.295,0,23.607,29.689,34.913
0.643602,14.2085,588.856,1,13,100,491.635,0.068,467.779,0,23.785,29.704,33.663
0,41.3669,707.732,1,13,100,463.948,0.073,440.331,0,23.541,184.576,27.825
0.532453,20.9686,535.988,1,13,100,444.487,0.07,420.803,0,23.611,29.645,28.7
0,39.2059,566.077,1,13,100,477.327,0.072,453.57,0,23.682,29.705,28.135
0.899939,4.74273,663.229,1,13,100,531.462,0.069,507.786,0,23.604,68.731,28.351
0.570323,18.5931,547.469,1,13,100,451.944,0.072,428.217,0,23.653,27.185,34.511
0,40.0151,616.925,1,13,100,524.264,0.068,500.503,0,23.691,25.479,33.757
0.730767,13.1488,574.486,1,13,100,468.955,0.072,445.237,0,23.643,43.675,29.02
0.543738,20.7091,625.084,1,13,100,498.335,0.078,474.244,0,24.01,66.369,26.334
0.830655,7.70182,727.447,1,13,100,481.58,0.069,457.716,0,23.791,187.005,24.854
0.852078,5.80706,603.878,1,13,100,504.456,0.069,480.714,0,23.67,31.317,32.983
0.62845,17.1585,705.792,1,13,100,476.434,0.071,452.423,0,23.937,167.15,29.148
