Iteration,Cost,Cost reduction,time (ms)
0,94.0402,0.328976,216.933
1,66.118,0.528214,426.624
2,24.9724,0.821809,637.024
3,22.3545,0.840489,843.208
4,15.0562,0.892566,1048.64
5,9.39649,0.932951,1248.58
6,9.39649,0.932951,1451.7
