Final cost,Final dist,Average dofs,Average optimisation time (ms),Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms),Average surprise
72.1868,0,0,3.99505,34.8593,2.03461,0.42751,0.978146,0
1632.32,0,0,3.86646,38.9373,2.0155,0.416162,0.899213,0
53.9019,0,0,4.01884,35.2327,2.04515,0.421131,1.00303,0
29.4924,0,0,4.0204,35.1727,2.03627,0.426213,1.00468,0
1527.94,0,0,3.90996,38.8794,2.0183,0.416298,0.937127,0
89.0961,0,0,3.97387,35.5868,2.02614,0.42055,0.981339,0
1752.19,0,0,3.92124,39.2593,2.03673,0.414996,0.931655,0
96.1148,0,0,3.90844,34.8773,2.00283,0.422672,0.93859,0
45.9704,0,0,4.01588,33.9141,2.03364,0.420926,1.00729,0
51.4471,0,0,4.03467,34.6788,2.05899,0.421308,0.999696,0
85.2197,0,0,3.9815,34.1113,2.0294,0.423791,0.975668,0
25.614,0,0,4.02544,33.7073,2.0526,0.420134,0.990904,0
53.2018,0,0,3.99029,36.0665,2.04929,0.424769,0.96732,0
