Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.657439,16.741,68.756,9,9,0.888889,25.288,0.01,7.146,0.374,17.743,13.38,26.024
0.917259,14.3931,59.325,8,9,0.875,19.866,0.009,4.608,0.351,14.882,12.396,23.095
0.793409,15.9773,41.5,5,9,1,16.03,0.007,4.521,0.226,11.268,7.457,14.565
0.839798,11.1134,48.426,6,9,1,18.52,0.011,4.908,0.35,13.24,9.502,16.414
0.615335,19.2468,37.43,6,9,0.5,9.227,0.005,2.4,0.132,6.685,9.699,15.527
0.540019,21.8816,43.381,6,9,0.666667,13.067,0.005,3.409,0.177,9.469,9.331,17.913
0.694651,7.52035,49.156,6,9,1,19.031,0.008,5.456,0.265,13.29,8.956,17.499
0.866787,21.8257,41.636,5,9,1,17.005,0.007,4.961,0.421,11.608,7.723,13.732
0.798884,24.9405,33.851,5,9,0.6,9.04,0.004,2.502,0.156,6.373,7.714,14.029
0.950853,6.00992,81.655,10,9,1,32.282,0.016,9.977,0.495,21.771,15.583,28.847
0.711455,13.8181,34.005,5,9,0.6,9.737,0.004,2.703,0.168,6.856,7.658,13.786
0.438058,58.2701,38.616,5,9,0.8,13.226,0.006,4.342,0.241,8.628,8.442,13.617
0.857639,16.7857,56.541,7,9,1,21.89,0.012,6.113,0.394,15.358,10.793,19.219
0.912618,11.538,45.347,6,9,0.833333,16.542,0.007,5.412,0.408,10.707,9.707,15.461
0.91969,9.2419,47.636,6,9,0.833333,16.433,0.006,4.931,0.22,11.266,9.419,17.87
0.904476,16.1819,36.484,5,9,0.8,12.369,0.005,3.508,0.178,8.668,7.779,12.955
0.624257,12.2102,59.672,8,9,0.875,20.834,0.011,5.544,0.348,14.918,12.251,22.899
0.871101,11.2371,38.054,5,9,0.8,11.924,0.005,3.121,0.177,8.612,7.594,15.332
0.896527,9.85926,37.755,5,9,0.8,13.054,0.011,4.278,0.181,8.577,8.311,13.147
0.74945,36.6459,34.576,5,9,0.6,9.843,0.01,2.814,0.13,6.881,7.952,13.629
0.157025,24.343,35.719,5,9,0.6,10.101,0.005,3.416,0.135,6.539,8,14.74
0.901675,9.79273,41.703,5,9,1,15.601,0.012,4.331,0.247,11.005,7.545,14.624
0.943325,8.6662,41.23,5,9,1,15.897,0.009,4.043,0.273,11.562,7.8,14.149
0.106899,87.2533,32.244,5,9,0.4,7.049,0.002,2.664,0.089,4.289,8.151,14.325
0.822261,24.1184,48.367,6,9,1,19.016,0.011,5.452,0.295,13.245,9.68,15.772
0.751997,36.1507,64.925,8,9,1,24.94,0.014,7.226,0.476,17.209,12.629,23.037
0.954153,7.51415,68.538,9,9,0.888889,25.573,0.012,7.02,0.379,18.145,13.991,24.461
0.729063,11.4341,63.117,8,9,1,24.885,0.01,7.299,0.525,17.034,12.212,21.548
0.681576,17.3773,34.105,5,9,0.6,9.381,0.005,2.46,0.13,6.779,8.57,13.263
0.850425,19.7035,34.83,5,9,0.6,9.717,0.004,2.541,0.135,7.032,7.837,14.151
0.944222,8.1402,59.491,8,9,0.75,20.18,0.008,6.631,0.297,13.231,12.153,23.478
0.867826,13.5349,49.279,6,9,1,19.46,0.011,6.267,0.287,12.883,8.962,16.622
0.873767,15.2523,47.139,7,9,0.571429,13.305,0.012,4.105,0.178,8.999,11.26,18.913
0.793191,30.3153,48.022,6,9,1,18.695,0.011,5.174,0.381,13.119,8.943,16.53
0.698506,17.4995,59.171,8,9,0.75,21.034,0.009,6.681,0.474,13.855,12.958,21.65
0.505016,13.0601,54.075,7,9,0.857143,19.673,0.011,5.587,0.265,13.795,10.744,19.603
0.883807,14.1889,57.729,7,9,1,24.39,0.01,8.369,0.322,15.674,11.285,17.988
0.847245,17.1273,45.44,6,9,0.833333,15.771,0.007,5.143,0.214,10.396,8.749,17.635
0.743345,11.647,41.24,5,9,1,16.016,0.008,5.073,0.273,10.655,7.805,13.906
