Iteration,Cost,Cost reduction,time (ms)
0,1.43721,0.116819,102.244
1,1.16089,0.286623,172.006
2,1.14521,0.296258,242.831
3,1.14521,0.296258,309.658
4,1.14521,0.296258,349.905
5,1.14521,0.296258,390.741
6,1.14521,0.296258,429.219
