Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
4.972,0,23.0159,2.729,0.545,0.85,0,0,0
4.461,0,33.4921,2.431,0.526,0.833,0,0,0
4.392,0,34.9206,2.279,0.55,0.849,0,0,0
4.461,0,37.3016,2.371,0.55,0.748,0,0,0
4.687,0,38.7302,2.651,0.535,0.835,0,0,0
8.831,0,37.619,2.887,1.32,3.851,0,0,0
4.433,0,35.3968,2.453,0.556,0.704,0,0,0
4.438,0,35.7143,2.37,0.549,0.813,0,0,0
4.431,0,35.5556,2.362,0.532,0.821,0,0,0
4.403,0,36.6667,2.405,0.549,0.765,0,0,0
4.134,0,36.5079,2.164,0.55,0.727,0,0,0
9.642,0,36.3492,2.886,1.613,4.483,0,0,0
4.241,0,33.4921,2.161,0.556,0.844,0,0,0
4.214,0,36.8254,2.217,0.541,0.798,0,0,0
4.471,0,36.9841,2.444,0.549,0.799,0,0,0
4.534,0,39.0476,2.387,0.546,0.894,0,0,0
4.283,0,37.3016,2.267,0.544,0.782,0,0,0
7.699,0,37.1429,2.806,0.742,3.385,0,0,0
4.306,0,37.619,2.24,0.558,0.781,0,0,0
4.427,0,37.1429,2.372,0.542,0.799,0,0,0
4.527,0,37.3016,2.59,0.548,0.743,0,0,0
4.578,0,37.9365,2.54,0.54,0.777,0,0,0
4.896,0,37.619,2.8,0.545,0.792,0,0,0
8.163,0,37.3016,2.733,0.641,4.059,0,0,0
4.523,0,37.3016,2.425,0.555,0.772,0,0,0
4.755,0,37.4603,2.627,0.583,0.836,0,0,0
4.616,0,36.8254,2.557,0.544,0.783,0,0,0
4.507,0,36.0317,2.407,0.554,0.795,0,0,0
4.494,0,37.9365,2.335,0.541,0.873,0,0,0
9.793,0,37.619,3.076,1.528,4.482,0,0,0
4.463,0,37.4603,2.486,0.535,0.741,0,0,0
4.497,0,36.6667,2.433,0.559,0.77,0,0,0
4.399,0,37.9365,2.348,0.54,0.786,0,0,0
4.602,0,36.8254,2.487,0.547,0.85,0,0,0
4.642,0,37.1429,2.6,0.531,0.794,0,0,0
9.439,0,36.0317,2.661,1.37,4.644,0,0,0
4.427,0,36.9841,2.436,0.556,0.724,0,0,0
4.485,0,37.7778,2.321,0.546,0.836,0,0,0
4.527,0,36.3492,2.426,0.556,0.815,0,0,0
5.325,0,38.0952,2.968,0.84,0.791,0,0,0
9.1,0,36.0317,2.938,1.519,3.855,0,0,0
4.632,0,37.3016,2.52,0.556,0.788,0,0,0
4.645,0,37.7778,2.564,0.551,0.784,0,0,0
4.415,0,36.5079,2.336,0.548,0.803,0,0,0
4.674,0,36.3492,2.618,0.511,0.828,0,0,0
4.769,0,37.3016,2.674,0.545,0.817,0,0,0
9.661,0,37.4603,2.755,0.654,5.443,0,0,0
4.577,0,38.5714,2.429,0.559,0.812,0,0,0
4.754,0,37.619,2.598,0.544,0.815,0,0,0
4.621,0,37.4603,2.531,0.546,0.833,0,0,0
4.722,0,36.9841,2.636,0.546,0.794,0,0,0
4.715,0,35.873,2.651,0.543,0.778,0,0,0
9.114,0,36.3492,3.015,1.695,3.681,0,0,0
4.661,0,36.5079,2.532,0.56,0.791,0,0,0
