Iteration,Cost,Cost reduction,time (ms)
0,7.994738636846476,0.0,82.89551734924316
1,7.911722961909562,0.01038378847737531,373.46768379211426
2,4.776842743063009,0.40250170017474973,930.8943748474121
3,4.379097764587211,0.45225254214007105,1739.5598888397217
4,3.9720976835263104,0.5031610332801193,2502.2945404052734
5,3.899054297848849,0.5122974652506176,3316.169500350952
6,3.445462829480884,0.5690337125467373,4195.667266845703
7,3.362779482189686,0.5793759327301619,5108.588933944702
8,3.285757263110704,0.5890100461862289,6128.552436828613
9,3.2317070426811725,0.5957707700678607,7197.316408157349
10,2.941070847426945,0.6321242030512395,8147.639036178589
11,2.570448691079987,0.6784824610484201,9215.867519378662
12,2.53537149851638,0.6828699956704954,10394.095182418823
13,2.39129548592545,0.7008913493551434,11616.740226745605
14,2.2251453100652734,0.721673789333158,12735.410451889038
15,2.0758390188282463,0.7403493581064633,13806.93531036377
16,2.019619621286581,0.7473814075699141,14938.56954574585
17,1.94413440401319,0.7568232693620547,16226.02391242981
18,1.8937056708346456,0.7631310094232652,17395.534992218018
19,1.8587194236180975,0.76750716839553,18719.32029724121
20,1.8226178813079132,0.7720228310019095,19733.468055725098
21,1.7388916705145254,0.7824954949120849,20810.790300369263
22,1.6921482518701318,0.7883422674918614,21862.343311309814
23,1.6516709544607757,0.7934052594479465,22833.495140075684
24,1.6495767080805381,0.7936672125242592,24000.953674316406
25,1.649313784230573,0.7937000996343835,25504.316568374634
