Iteration,Cost,Cost reduction,time (ms)
0,47.5568,0.703754,12.984
1,12.9131,0.91956,22.044
2,12.1925,0.924049,31.037
3,12.1925,0.924049,39.334
4,12.1925,0.924049,45.147
5,12.1925,0.924049,50.953
6,12.1925,0.924049,56.066
