Iteration,Cost,Cost reduction,time (ms)
0,8.55762,0.650889,227.308
1,7.36378,0.699593,436.697
2,3.67004,0.85028,650.164
3,3.67004,0.85028,861.833
4,3.31177,0.864895,960.461
5,2.06173,0.915891,1166.41
6,2.06173,0.915891,1371.56
