Iteration,Cost,Cost reduction,time (ms)
0,34.1209,0.199517,2179.03
1,20.2276,0.525457,4383.9
2,19.5083,0.542331,6596.73
3,17.3717,0.592456,8812.58
4,17.2055,0.596356,11034
