Iteration,Cost,Cost reduction,time (ms)
0,15.2396,0,363.538
1,15.2396,0,553.103
2,15.2189,0.00135751,744.823
3,15.2189,0.00135751,1032.52
4,15.1979,0.0027344,1231.3
5,15.1979,0.0027344,1553.63
