baseline,baseline,baseline,baseline,baseline,setInterval_100,setInterval_100,setInterval_100,setInterval_100,setInterval_100,setInterval_1000,setInterval_1000,setInterval_1000,setInterval_1000,setInterval_1000,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
206.879,0.945425,100,12.864,5,145.428,0.945423,1.03571,1.7984,5,143.039,0.945279,0.142857,1.612,5,148.038,0.945418,2.03571,2.6016,5,146.779,0.94547,0.428571,2.0996,5,
340.855,0.993467,100,12.9922,8,238.031,0.996016,1.03571,1.73888,8,239.59,0.995859,0.142857,1.63638,8,245.392,0.992024,2.04911,2.58888,8,262.898,0.995579,3.65625,4.69925,8,
336.24,0.994071,100,13.4,8,243.476,0.994209,1.03571,2.05512,8,201.45,0.994221,0.142857,1.60386,7,217.052,0.994494,2.03571,3.54214,7,253.974,0.994258,3.27679,4.48425,8,
304.136,0.943238,100,13.59,7,209.177,0.943216,1.03571,1.73171,7,207.099,0.942071,0.142857,1.51114,7,214.682,0.943227,2.03571,2.57829,7,211.496,0.943177,0.821429,2.23686,7,
212.898,0.972899,100,12.6654,5,152.043,0.972896,1.03571,1.7418,5,170.08,0.972831,0.142857,1.61917,6,153.286,0.972907,2.03571,2.681,5,158.428,0.972879,2.12143,3.2164,5,
214.425,0.988873,100,13.0882,5,150.903,0.988866,1.03571,1.8246,5,172.948,0.988815,0.142857,1.692,6,152.415,0.988874,2.03571,2.57,5,157.939,0.988884,1.88571,3.2216,5,
249.228,0.955259,100,21.8586,5,136.277,0.955344,1.03571,2.2318,5,164.715,0.954277,0.142857,1.70267,6,139.02,0.955276,2.03571,2.4478,5,142.552,0.955298,2.42143,3.533,5,
292.377,0.992015,100,13.0374,7,169.171,0.992134,1.03571,2.487,6,176.068,0.991969,0.142857,1.60414,7,187.2,0.992068,2.03571,2.607,7,202.2,0.992058,2.4898,4.04671,7,
198.415,0.982871,100,12.927,5,140.574,0.982898,1.03571,2.5734,5,135.148,0.982703,0.142857,1.6386,5,138.912,0.982911,2.03571,2.4918,5,141.479,0.982867,1.92143,3.2454,5,
277.523,0.944441,100,13.093,7,189.301,0.944403,1.03571,1.913,7,209.126,0.943313,0.142857,1.52525,8,222.777,0.944418,2.03571,2.781,7,217.334,0.944412,1.15306,2.87557,7,
318.781,0.943129,100,15.875,7,209.159,0.943093,1.03571,1.73586,7,234.553,0.941935,0.142857,1.70637,8,217.523,0.943109,2.03571,2.59429,7,216.126,0.943102,0.984694,2.55743,7,
299.704,0.982849,100,12.8853,7,217.204,0.982648,1.03571,3.906,7,202.533,0.982678,0.142857,1.69357,7,215.612,0.982589,2.03571,2.80229,7,235.867,0.982327,1.45982,2.89112,8,
177.87,0.943622,100,12.684,4,125.606,0.943635,1.03571,2.61975,4,148.819,0.943535,0.142857,1.5842,5,124.103,0.94362,2.03571,2.4165,4,128.332,0.943635,2.05357,3.29425,4,
176.119,0.936024,100,13.8893,4,159.336,0.936028,1.03571,10.8413,4,119.381,0.93607,0.142857,1.4925,4,128.021,0.936028,2.03571,3.12375,4,124.471,0.936026,1.25,2.56625,4,
213.751,0.977399,100,12.8502,5,152.845,0.977463,1.03571,1.7792,5,150.104,0.977415,0.142857,1.6318,5,156.316,0.97743,2.03571,2.7304,5,156.963,0.977407,1.77857,2.995,5,
298.513,0.950346,100,12.8721,7,211.627,0.950268,1.03571,1.792,7,232.715,0.949328,0.142857,1.81425,8,216.558,0.950285,2.03571,2.63557,7,217.111,0.950307,1.35714,2.887,7,
299.7,0.994162,100,13.3527,7,234.585,0.994062,1.03571,1.83225,8,238.002,0.973545,0.142857,1.60438,8,220.685,0.994019,2.03571,3.28614,7,219.605,0.99395,1.80102,3.16043,7,
301.7,0.929523,100,13.2897,7,210.937,0.929247,1.03571,1.81929,7,207.663,0.929223,0.142857,1.607,7,214.451,0.929375,2.03571,2.53214,7,217.568,0.929515,1.27551,2.85371,7,
213.717,0.94126,100,12.6022,5,152.519,0.941302,1.03571,1.765,5,171.81,0.939581,0.142857,1.60483,6,158.904,0.941269,2.03571,3.1654,5,154.715,0.941288,2.35,3.2418,5,
250.144,0.994697,100,13.4862,6,182.543,0.994693,1.03571,1.80367,6,176.418,0.994645,0.142857,1.56167,6,181.551,0.9947,2.03571,2.66117,6,182.298,0.994682,1.11905,3.37333,6,
337.029,0.985412,100,18.3576,7,207.143,0.985767,1.03571,1.83686,7,184.813,0.985077,0.142857,1.58743,7,217.519,0.985463,2.03571,2.70587,8,203.235,0.985429,2.14286,3.635,7,
282.506,0.995795,100,14.8399,7,206.971,0.995804,1.03571,1.94471,7,182.922,0.995638,0.142857,1.61183,6,212.986,0.995775,2.03827,3.20043,7,258.08,0.995803,2.62755,7.70629,7,
332.498,0.996633,100,13.3013,8,236.378,0.99674,1.03571,1.89837,8,238.561,0.995597,0.142857,1.55013,8,238.686,0.996688,2.03571,2.6905,8,255.477,0.996571,3.24107,4.4265,8,
172.643,0.913251,100,13.1715,4,131.133,0.913273,1.03571,3.64325,4,146.517,0.912106,0.142857,1.5736,5,121.903,0.913256,2.03571,2.678,4,122.95,0.913236,1.74107,2.78925,4,
302.507,0.959081,100,13.4121,7,212.76,0.959359,1.03571,2.06857,7,206.516,0.959241,0.142857,1.71557,7,216.057,0.959221,2.03571,2.5,7,220.901,0.959082,1.71429,3.40529,7,
