baseline,baseline,baseline,baseline,baseline,baseline,SI2,SI2,SI2,SI2,SI2,SI2,adapJerk,adapJerk,adapJerk,adapJerk,adapJerk,adapJerk,
final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,
1.44986,42.9146,20.1288,0.725153,2.4481,100,0.779564,67.5601,11.1632,0.687883,2.9506,52,0.016551,92.5409,7.92326,0.674566,2.20821,24.5071,
0.0201313,50.689,17.716,0.724358,1.28774,100,4.13604,53.027,15.6661,0.6718,2.52037,52,0.790689,102.983,6.79483,0.68051,2.23503,25.8193,
0.0158705,46.3479,19.4333,0.725082,1.41759,100,1.90351,62.6275,11.2207,0.667727,4.07903,52,1.31851,90.08,7.32382,0.666695,3.11073,28.3476,
0.011528,48.4919,18.4379,0.71352,1.47059,100,1.68091,59.1683,13.0075,0.700033,3.19341,52,0.109291,82.1906,9.57385,0.703997,1.889,25.5242,
1.81149,31.9811,26.8411,0.668438,3.75891,100,19.2086,64.9889,10.0138,0.63659,4.73683,52,0.417503,97.6815,7.70139,0.687317,1.84865,29.2033,
1.39306,41.6097,21.1546,0.71511,2.16319,100,3.51559,63.7207,10.9669,0.663165,4.06342,52,4.0198,89.2445,8.26896,0.69388,2.24233,28.7862,
0.00444818,42.3203,20.8133,0.692361,2.12371,100,0.0314032,71.2459,11.4954,0.701965,1.83853,52,0.440639,89.151,7.33844,0.653206,3.22527,25.9513,
0.00874958,43.3689,20.7419,0.715185,1.6009,100,2.69162,57.809,12.9552,0.664871,3.67827,52,0.727605,97.5262,7.33192,0.672068,2.24966,26.2089,
0.152054,35.6164,21.7722,0.687267,5.6175,100,9.41483,50.9365,14.9516,0.680011,4.00068,52,0.0827954,84.8453,7.94052,0.681612,3.16403,26.0522,
0.0181404,45.1036,19.9537,0.725326,1.49217,100,6.52838,53.3432,13.886,0.698413,4.16215,52,0.0772245,99.8887,7.85055,0.721684,1.43891,23.9869,
0.0101825,51.8056,17.3241,0.714507,1.26434,100,0.567723,72.544,9.76657,0.646226,3.37194,52,0.0204787,95.3592,8.07391,0.700285,1.71246,24.2496,
0.019694,49.7,17.8624,0.715028,1.54333,100,0.198775,63.3929,12.8577,0.706927,2.20999,52,0.2643,73.4857,10.0474,0.684576,2.87607,25.0098,
0.0397197,39.2544,22.2577,0.71325,2.50392,100,8.30549,44.6553,18.2557,0.699207,3.43888,52,0.0708402,91.8312,8.19365,0.682745,2.01314,25.9498,
0.0152429,39.4233,23.2234,0.705465,1.43678,100,0.0421016,67.0514,12.0628,0.692029,2.15909,52,0.0151364,105.522,7.04093,0.69802,1.73772,26.1536,
2.49486,42.6861,20.6924,0.718408,2.01598,100,2.72936,52.1328,13.6539,0.682261,4.84564,52,0.354388,93.3102,7.63453,0.696315,2.38609,28.5727,
0.0108673,46.3735,18.512,0.716419,2.33567,100,0.432397,60.3592,13.9464,0.701756,1.91929,52,0.0326701,109.894,6.79863,0.729082,1.57195,26.0764,
0.0239286,38.7615,23.5552,0.707039,1.5366,100,7.84199,58.7745,13.1337,0.704984,3.1755,52,0.124735,88.9833,8.03867,0.689229,2.51015,26.5449,
3.68478,32.7341,25.0852,0.702558,4.76143,100,1.98124,62.5315,10.3978,0.663377,4.93079,52,0.0640945,84.8368,8.49851,0.690799,2.59802,29.2591,
0.016033,40.7212,22.5878,0.71753,1.2519,100,1.20085,62.1727,11.5609,0.673165,3.8502,52,0.156036,81.4033,8.7605,0.682657,2.84135,25.3073,
5.11861,26.0302,33.1286,0.652634,4.63565,100,4.8045,56.7582,11.8998,0.674978,5.04382,52,0.356497,94.0744,7.47571,0.689386,2.46478,31.9856,
1.89204,32.6281,26.4397,0.696436,3.51233,100,1.61485,63.1823,11.0765,0.684548,4.06621,52,0.569769,97.478,7.36652,0.694983,2.19722,28.8209,
0.334806,35.0475,24.9439,0.694959,2.89379,100,0.0506421,67.9661,11.235,0.690453,2.78776,52,0.0588467,96.8092,7.71094,0.710365,1.90829,26.5227,
5.18489,26.6904,32.1762,0.660379,4.63008,100,2.84293,60.2075,10.9674,0.648733,4.99312,52,0.0886202,97.3111,7.2731,0.669378,2.33385,30.2396,
4.89395,31.2215,27.4369,0.678099,3.91424,100,5.99183,65.2725,9.8341,0.636131,4.85016,52,0.791108,93.516,7.36679,0.667685,2.65888,30.7002,
16.3424,31.7754,25.9198,0.6825,4.86863,100,15.6362,59.8221,11.7434,0.664311,4.30855,52,0.0739727,92.5793,7.94404,0.69943,2.15808,27.7958,
4.97744,22.4362,39.1956,0.62565,4.74965,100,2.86702,53.8269,12.6823,0.667107,5.22865,52,0.537756,95.5588,7.31347,0.701647,2.44964,31.5033,
0.0398207,43.7278,20.8573,0.725522,1.28597,100,4.75905,65.2954,10.9774,0.686883,3.65075,52,0.0127906,100.322,7.29555,0.720885,1.95147,25.8947,
21.3614,31.9845,26.3759,0.677877,4.21131,100,2.59881,59.679,10.9984,0.668807,5.0891,52,0.0554256,100.491,7.30454,0.707866,1.93878,26.9847,
0.277423,38.9903,23.3528,0.714862,1.57971,100,0.856819,59.7674,13.1343,0.694633,2.90259,52,0.669559,83.9619,8.13599,0.696064,3.07811,26.1573,
