baseline,baseline,baseline,baseline,baseline,setInterval100,setInterval100,setInterval100,setInterval100,setInterval100,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
12.6109,13.4493,100,1.69774,4,9.80094,13.0183,1.04545,0.0788963,5,7.99083,12.5718,0.545455,0.066863,4,7.91935,13.2079,0.5625,0.0776647,4,8.09166,12.953,0.559659,0.0714913,4,9.86621,14.668,0.434659,0.082218,5,4.91135,13.5093,1.04545,0.0798637,5,4.62328,13.4855,0.545455,0.0711423,5,4.87912,13.5973,0.590909,0.0814398,5,4.73829,13.3308,0.582386,0.078291,5,5.03275,14.0796,0.369318,0.0798344,5,
17.1591,15.1254,100,2.3341,4,7.93006,16.1501,1.04545,0.093,4,8.12615,15.465,0.545455,0.0745643,4,7.97511,16.2191,0.573864,0.0845433,4,8.12953,16.4167,0.576705,0.081436,4,7.78744,16.0508,0.269886,0.0921715,4,4.28703,16.2871,1.04545,0.096132,5,3.92077,16.3002,0.545455,0.072976,5,4.17677,16.2862,0.582386,0.087948,5,4.03244,16.2753,0.582386,0.079247,5,4.19058,16.149,0.255682,0.086475,5,
13.9981,16.4259,100,2.07606,4,8.03815,16.3657,1.04545,0.084088,4,8.14332,16.2878,0.545455,0.069743,4,8.0661,16.4031,0.633523,0.0952753,4,8.03428,16.3531,0.642045,0.0885797,4,9.93453,15.759,0.380682,0.0880277,5,4.16313,16.5548,1.04545,0.082384,5,4.41411,16.5559,0.545455,0.0701795,5,4.28506,16.5434,0.647727,0.0932915,5,4.34534,16.5116,0.661932,0.0864355,5,4.25228,16.591,0.326705,0.0858645,5,
17.2574,16.1025,100,2.24674,4,8.23126,16.381,1.04545,0.0846202,4,7.98908,16.3832,0.545455,0.071277,4,7.87468,16.5115,0.605114,0.0935355,4,7.73245,16.5127,0.607955,0.085034,4,7.99957,16.5048,0.363636,0.0868295,4,4.26906,16.5267,1.04545,0.088246,5,4.3758,16.5123,0.545455,0.0691867,5,4.19578,16.5269,0.582386,0.100065,5,4.45977,16.5234,0.579545,0.086679,5,4.42042,16.5222,0.318182,0.080148,5,
9.53636,16.7083,100,2.08973,4,7.69198,16.7064,1.04545,0.094,4,7.64277,16.707,0.545455,0.075364,4,7.60708,16.7083,0.602273,0.08666,4,7.62612,16.7076,0.585227,0.085727,4,7.51173,16.7083,0.403409,0.09231,4,4.5202,16.7078,1.04545,0.0829535,5,4.3191,16.7073,0.545455,0.0687825,5,3.9822,16.7083,0.602273,0.088795,5,4.47007,16.7072,0.582386,0.0814555,5,4.23406,16.7061,0.397727,0.095714,5,
22.5341,14.3822,100,2.52345,5,7.96646,15.7013,1.04545,0.089803,4,7.74414,17.2167,0.545455,0.073692,4,7.60225,17.2167,0.5625,0.079635,4,7.63137,17.2166,0.5625,0.07454,4,7.80879,16.1594,0.713068,0.106858,4,4.57924,16.1504,1.04545,0.0880727,5,4.74195,16.2223,0.545455,0.0725248,5,4.65735,16.2233,0.585227,0.084167,5,4.55603,15.9859,0.579545,0.0784977,5,4.35221,16.1845,0.897727,0.122783,5,
15.1602,15.5094,100,2.48233,4,7.8267,16.5606,1.04545,0.100015,4,7.81748,15.5481,0.545455,0.0723467,4,7.65366,16.5916,0.553977,0.0796775,4,7.74311,16.5915,0.553977,0.0742835,4,7.91136,16.0381,0.556818,0.106995,4,4.21816,16.572,1.04545,0.0873225,5,4.25119,16.5926,0.545455,0.071759,5,4.02324,16.5926,0.553977,0.077979,5,3.75381,16.5926,0.553977,0.082783,5,4.62509,16.2832,0.696023,0.114338,5,
10.9875,16.1575,100,1.76188,4,7.69587,16.1639,1.04545,0.076649,4,7.63349,16.1536,0.545455,0.065084,4,7.68207,16.1666,0.553977,0.075242,4,7.76889,16.1668,0.553977,0.068999,4,7.59848,16.1425,0.576705,0.093307,4,4.10752,16.1408,1.04545,0.0770307,5,4.43564,16.1452,0.545455,0.0649523,5,4.34495,16.1589,0.553977,0.0743113,5,4.35183,16.1598,0.553977,0.070476,5,4.14277,16.1463,0.386364,0.0881657,5,
15.115,14.2162,100,2.38965,4,8.3757,13.8941,1.04545,0.085799,4,7.52321,15.6227,0.545455,0.071432,4,7.42372,15.6227,0.556818,0.09437,4,8.15008,14.8822,0.576705,0.081767,4,8.09904,15.3827,0.428977,0.100772,4,3.94572,15.6195,1.04545,0.091584,5,4.03592,15.6227,0.545455,0.071375,5,3.76796,15.6227,0.556818,0.083167,5,4.36694,15.6227,0.556818,0.085699,5,4.30077,15.6116,0.4375,0.105474,5,
