baseline,baseline,baseline,baseline,baseline,setInterval5,setInterval5,setInterval5,setInterval5,setInterval5,setInterval20,setInterval20,setInterval20,setInterval20,setInterval20,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,setInterval5_bpp,setInterval5_bpp,setInterval5_bpp,setInterval5_bpp,setInterval5_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
13.3968,0.375404,100,1.52161,4,8.7138,0.390284,20.0455,0.357685,4,7.93177,0.38912,5.04545,0.135206,4,7.92711,0.380942,1.86061,0.143976,4,7.7733,0.356821,1.75758,0.132931,4,7.94683,0.355777,1.43939,0.153998,4,4.78679,0.389917,20.0455,0.349254,5,4.42128,0.388082,5.04545,0.139229,5,4.49684,0.387586,1.6303,0.130476,5,4.46153,0.388065,1.74242,0.134092,5,4.35454,0.404078,0.739394,0.102833,5,
16.6802,0.290626,100,1.53733,5,8.6011,0.331062,20.0455,0.355648,4,7.87505,0.323812,5.04545,0.146467,4,7.86414,0.264065,1.79091,0.154858,4,7.81169,0.320211,1.77273,0.16234,4,9.35464,0.210087,0.539394,0.106188,5,6.12253,0.366729,20.0455,0.374525,6,5.06775,0.366377,5.04545,0.139916,6,5.41579,0.233836,2.09697,0.149905,6,4.37531,0.304004,2.36667,0.158151,5,4.59553,0.25277,1.87576,0.180168,5,
11.8567,0.480826,100,1.57281,4,8.37217,0.514722,20.0455,0.372525,4,7.60108,0.465254,5.04545,0.138502,4,7.79782,0.553851,2.50909,0.200136,4,7.87151,0.487328,2.50909,0.189738,4,7.37004,0.477278,0.560606,0.147014,4,5.1818,0.549666,20.0455,0.381574,5,4.25683,0.365021,5.04545,0.156748,5,5.28986,0.41446,2.48182,0.196453,6,4.59916,0.564567,2.9303,0.178905,5,4.5856,0.534131,0.869697,0.140582,5,
11.7409,0.49191,100,1.5514,4,7.64459,0.608077,20.0455,0.336582,4,7.57607,0.567712,5.04545,0.12117,4,7.37961,0.674162,1.37879,0.115986,4,7.53774,0.664457,1.32121,0.125747,4,7.31945,0.670484,0.315152,0.0848437,4,4.59523,0.404321,20.0455,0.346444,5,4.20074,0.41181,5.04545,0.126191,5,4.47582,0.507505,1.32424,0.135163,5,4.34778,0.5002,1.26061,0.117056,5,4.08205,0.00839618,0.321212,0.0970505,5,
10.3407,0.0710897,100,1.66057,4,10.6379,0.171731,20.0455,0.405707,5,9.50768,0.154746,5.04545,0.141542,5,7.34177,0.00216887,2.46364,0.178591,4,7.73334,0.0914364,2.7697,0.171358,4,7.97439,0.286698,0.954545,0.150249,4,5.23201,0.101781,20.0455,0.399224,5,5.37013,0.229138,5.04545,0.142935,6,4.29779,0.0537169,2.39091,0.161475,5,4.5938,0.283567,3.08788,0.175495,5,4.31213,0.272929,1.39697,0.162144,5,
10.4457,0.00195025,100,1.67816,4,10.6597,0.213789,20.0455,0.385255,5,9.56277,0.177662,5.04545,0.14062,5,7.92858,0.105881,2.08485,0.163512,4,7.69393,0.142614,1.66061,0.13227,4,8.0432,0.0197666,1.23636,0.174237,4,5.53401,0.0576685,20.0455,0.42354,5,4.51474,0.056032,5.04545,0.144357,5,4.53063,0.00778251,1.8697,0.173123,5,4.21339,0.00781959,1.57879,0.119232,5,4.30291,0.00180154,1.25152,0.158277,5,
19.3768,0.366526,100,1.70926,6,8.95753,0.269665,20.0455,0.407982,4,7.74273,0.293827,5.04545,0.14995,4,7.71709,0.1806,2.2,0.177547,4,7.65795,0.117095,1.86364,0.154868,4,7.88938,0.40118,1.00606,0.155253,4,5.0986,0.314123,20.0455,0.389847,5,4.55191,0.323726,5.04545,0.142872,5,4.10306,0.297994,2,0.16166,5,4.30837,0.0669836,1.87879,0.157191,5,4.19634,0.269803,1.06061,0.149999,5,
14.3723,0.337479,100,1.77642,4,8.99041,0.331078,20.0455,0.414644,4,7.9621,0.336972,5.04545,0.154892,4,7.88208,0.329152,1.38485,0.119569,4,7.34097,0.0028415,1.36667,0.116583,4,10.0207,0.390204,1.42121,0.182692,5,4.79462,0.348368,20.0455,0.416823,5,4.59167,0.358996,5.04545,0.148096,5,4.73614,0.354616,1.51212,0.131062,5,4.5733,0.352333,1.55455,0.12758,5,4.63386,0.372653,1.21818,0.151959,5,
11.9975,0.33498,100,1.64561,4,8.25743,0.327992,20.0455,0.393179,4,7.61511,0.293718,5.04545,0.138568,4,7.92432,0.289291,1.86061,0.156794,4,9.59477,0.347034,2,0.160242,5,9.41777,0.319331,1.28485,0.143687,5,5.74779,0.413429,20.0455,0.401843,5,4.25634,0.342579,5.04545,0.149256,5,4.93457,0.386576,1.68788,0.144879,5,4.6313,0.405685,2.03636,0.146434,5,4.50661,0.248004,2.45152,0.235256,5,
14.3142,0.360324,100,1.75352,4,9.05039,0.378374,20.0455,0.411668,4,7.82132,0.380245,5.04545,0.147657,4,8.21378,0.404596,2.08182,0.187611,4,7.91755,0.387583,1.85455,0.167702,4,11.4684,0.25548,0.739394,0.15151,6,5.37936,0.336687,20.0455,0.403232,5,4.55679,0.351167,5.04545,0.146705,5,4.55978,0.300592,1.73636,0.157095,5,4.47965,0.334852,1.77879,0.149423,5,4.27445,0.335845,1.66061,0.197873,5,
13.642,0.328147,100,1.5713,4,7.67633,0.0176387,20.0455,0.369291,4,7.29037,0.0992321,5.04545,0.13494,4,7.19988,0.110377,1.63939,0.119833,4,7.19454,0.0248782,1.60606,0.104828,4,7.26199,0.0999251,1.2303,0.153203,4,4.94271,0.218753,20.0455,0.350758,5,4.14402,0.235958,5.04545,0.131526,5,4.36538,0.32371,1.68182,0.120445,5,4.0118,0.214119,1.64545,0.128637,5,4.27384,0.188947,1.0303,0.140883,5,
14.4021,0.207425,100,1.76345,4,8.84361,0.191819,20.0455,0.399841,4,7.85415,0.215508,5.04545,0.143089,4,7.72858,0.143774,1.83333,0.133005,4,7.85668,0.134187,1.61818,0.126314,4,8.05875,0.341216,1.52121,0.200639,4,5.1081,0.179329,20.0455,0.356562,5,4.16819,0.0894875,5.04545,0.142325,5,4.18035,0.107172,1.63636,0.135553,5,4.50834,0.3069,1.7697,0.125295,5,5.57315,0.278027,3.17273,0.268772,5,
15.9428,0.376148,100,1.72748,5,8.51465,0.347605,20.0455,0.397575,4,7.58231,0.24634,5.04545,0.13714,4,7.97254,0.30879,2.49697,0.184091,4,7.97832,0.27622,2.23939,0.175088,4,7.98525,0.307213,1.21515,0.168555,4,5.52407,0.322445,20.0455,0.390511,6,5.18697,0.341638,5.04545,0.142813,6,4.071,0.332037,2.33636,0.176211,5,4.06274,0.356636,2.20606,0.161555,5,5.30622,0.338416,1.81818,0.201325,6,
15.0063,0.599594,100,1.90774,4,10.7019,0.612576,20.0455,0.428659,5,7.91164,0.617349,5.04545,0.152851,4,7.58155,0.5967,1.69394,0.150259,4,7.86856,0.609437,1.94242,0.166822,4,9.70068,0.661485,1.10606,0.148486,5,5.85112,0.717514,20.0455,0.404585,5,5.42192,0.659683,5.04545,0.151611,6,4.81448,0.709901,1.93939,0.150699,5,5.99738,0.617208,2.23636,0.152704,7,4.25227,0.424847,0.963636,0.142147,5,
13.3166,0.213058,100,1.94445,4,9.21523,0.227563,20.0455,0.450631,4,8.00058,0.152141,5.04545,0.158249,4,10.2914,0.317722,3.31212,0.219844,5,8.30825,0.22084,3.2,0.231818,4,7.92084,0.235277,1.17576,0.155559,4,4.85495,0.0941359,20.0455,0.431911,5,4.31477,0.209308,5.04545,0.154777,5,4.67808,0.277392,3.04242,0.197691,5,4.77688,0.329689,3.2303,0.226241,5,4.41815,0.384494,1.21818,0.154012,5,
12.3937,0.244754,100,1.68514,4,11.1429,0.407052,20.0455,0.395965,5,7.77161,0.3937,5.04545,0.143428,4,8.13314,0.445765,2.87879,0.20499,4,8.11296,0.421379,3.15758,0.206699,4,8.82986,0.363857,4.01818,0.347286,4,5.39141,0.314564,20.0455,0.399436,5,4.57782,0.382615,5.04545,0.148644,5,4.93152,0.373063,3.22121,0.203447,5,5.07783,0.39233,3.01515,0.199194,5,4.86289,0.351381,2.57576,0.265684,5,
14.4142,0.106822,100,1.74956,4,8.92905,0.270545,20.0455,0.407487,4,10.1228,0.344004,5.04545,0.143288,5,7.8858,0.239925,1.83636,0.137569,4,8.07313,0.181802,1.59394,0.132002,4,8.24664,0.200196,2.29697,0.250263,4,4.92987,0.0656051,20.0455,0.400003,5,4.2639,0.0754523,5.04545,0.138546,5,4.23982,0.114614,1.87879,0.142406,5,4.17007,4.65895e-05,1.54848,0.121168,5,4.32332,0.0686152,1.37576,0.192092,5,
