baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
4989.63,0.158781,100,1063.5,4,1641.91,0.161813,20.0357,227.479,4,892.143,0.365063,0.142857,10.8312,5,826.438,0.163104,1.04365,18.0512,4,954.625,0.254881,0.739683,23.3818,5,955.904,0.159719,3.08829,60.1187,4,
4933.15,0.212597,100,1044.06,4,1608.05,0.214155,20.0357,225.2,4,1069.54,0.337888,0.142857,8.18967,6,793.601,0.21378,1.04464,19.1902,4,990.107,0.260063,0.557937,20.2552,5,1013.39,0.21347,3.31944,62.6905,4,
6149.35,0.313353,100,1070.07,5,1930.5,0.312274,20.0357,224.923,5,1049.52,0.456425,0.142857,7.96017,6,895.261,0.315852,1.05794,18.9666,5,955.304,0.316313,0.625397,21.7966,5,1170.5,0.314975,3.48413,71.6618,5,
6275.06,0.34215,100,1094.61,5,1946.04,0.347815,20.0357,229.149,5,878.095,0.37447,0.142857,9.8396,5,908.31,0.353492,1.06508,20.175,5,1728.64,0.308473,2.06689,68.446,7,1201.85,0.349918,3.25873,78.9524,5,
5058.58,0.254293,100,1061.97,4,1673.05,0.255334,20.0357,226.885,4,955.714,0.26492,0.142857,8.0264,5,809.303,0.260245,1.04365,17.9293,4,914.974,0.0747118,1.21627,42.2498,4,945.978,0.255521,3.57341,58.4628,4,
6597.13,0.298617,100,1145.3,5,2032.85,0.305326,20.0357,235.571,5,900.352,0.307064,0.142857,12.029,5,939.507,0.304071,1.14127,20.089,5,643.82,0.231625,1.06052,43.6932,4,1238.78,0.304336,4.26667,79.479,5,
6354.8,0.298599,100,1109.47,5,1653.85,0.197124,20.0357,229.982,4,943.892,0.304396,0.142857,13.9346,5,657.997,0.300242,1.13492,20.176,5,1028.44,0.314745,0.675397,25.4234,5,992.988,0.19612,2.83532,65.4115,4,
6366.68,0.322884,100,1089.94,5,2082.92,0.326634,20.0357,233.7,5,958.349,0.304465,0.142857,8.7434,5,1076.82,0.327429,1.27222,32.3642,5,1074.07,0.117068,2.76786,86.9143,4,1717.8,0.320386,8.32778,160.555,5,
4885.9,0.199294,100,1037.45,4,1603.32,0.190329,20.0357,225.337,4,1058.28,0.330807,0.142857,7.738,6,800.171,0.20118,1.04464,17.6475,4,927.734,0.268735,0.470635,20.5328,5,933.819,0.200949,2.89782,48.245,4,
2740.09,0.00137413,100,671.828,3,1166.33,0.0018539,20.0357,146.368,3,1008.09,0.191826,0.142857,10.8915,4,769.22,0.00133198,1.13492,12.1327,3,954.414,0.192323,1.65079,59.6025,4,976.589,0.00133666,7.54365,82.762,3,
