baseline,baseline,baseline,baseline,baseline,setInterval100,setInterval100,setInterval100,setInterval100,setInterval100,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
22.6629,13.6221,100,3.21263,4,13.6743,11.6918,1.04545,0.141936,4,20.3655,11.6509,0.545455,0.114956,6,13.6489,13.0807,0.560606,0.135664,4,16.9667,7.51061,0.556818,0.119131,5,20.6399,13.1632,0.475379,0.169062,6,8.3333,13.832,1.04545,0.131928,5,8.26525,14.2507,0.545455,0.119148,5,9.43029,11.515,0.583333,0.139782,6,9.13026,13.4226,0.579545,0.125016,6,12.3037,13.0531,0.435606,0.169081,8,
19.0489,11.6647,100,3.16427,4,16.9984,11.0564,1.04545,0.136577,5,12.9426,11.6144,0.545455,0.110824,4,13.6101,11.6138,0.551136,0.133093,4,12.8545,11.665,0.551136,0.113525,4,13.3227,11.3996,0.426136,0.14058,4,9.25601,10.848,1.04545,0.133391,6,9.30439,10.7697,0.545455,0.113176,6,8.73779,11.0792,0.570076,0.129372,5,8.29051,11.2518,0.5625,0.11924,5,8.59472,10.777,0.475379,0.156001,5,
16.4511,17.3161,100,3.80545,4,12.7759,17.3161,1.04545,0.135258,4,13.0997,17.3102,0.545455,0.119744,4,13.3037,17.2967,0.613636,0.144817,4,12.7984,17.3161,0.621212,0.148251,4,14.0337,16.7348,0.643939,0.199328,4,7.30691,17.3161,1.04545,0.139177,5,6.89644,17.3161,0.545455,0.117421,5,7.5049,17.3132,0.640152,0.150022,5,7.441,17.3161,0.621212,0.143128,5,9.57495,16.5202,0.464015,0.168089,6,
20.0811,8.3445,100,2.45928,4,12.5321,8.51097,1.04545,0.118431,4,13.1812,8.38008,0.545455,0.104399,4,12.535,8.51097,0.551136,0.118368,4,12.5254,8.51097,0.551136,0.108448,4,13.6588,7.98979,0.589015,0.170362,4,6.9472,8.51097,1.04545,0.12035,5,6.95322,8.50585,0.545455,0.106661,5,7.2803,8.51097,0.551136,0.119071,5,6.80843,8.51097,0.551136,0.109901,5,7.3952,8.5042,0.535985,0.169092,5,
22.0648,17.3118,100,4.58248,4,13.1928,17.2562,1.04545,0.152773,4,13.768,15.5398,0.545455,0.123609,4,13.1979,17.311,0.560606,0.145912,4,13.3809,17.2903,0.558712,0.137746,4,14.1505,17.2337,0.670455,0.224695,4,7.62262,17.2415,1.04545,0.150736,5,7.98285,17.3073,0.545455,0.123804,5,7.88062,17.2975,0.5625,0.145346,5,7.94,17.3115,0.560606,0.129813,5,8.09724,17.2709,0.653409,0.211879,5,
21.1277,16.7025,100,4.14396,4,12.7929,16.7033,1.04545,0.144711,4,12.7444,16.7033,0.545455,0.118981,4,12.7927,16.7033,0.579545,0.137228,4,12.7839,16.7033,0.575758,0.125277,4,13.6139,16.5938,0.649621,0.205188,4,7.41857,16.7033,1.04545,0.154214,5,7.25998,16.7033,0.545455,0.119354,5,7.94474,16.7023,0.579545,0.140574,5,7.59059,16.7033,0.573864,0.127687,5,7.79565,16.6562,0.719697,0.204311,5,
31.5524,17.0724,100,4.55639,4,13.94,16.7588,1.04545,0.156627,4,13.4724,14.6696,0.545455,0.12794,4,13.1821,17.1289,0.573864,0.140951,4,13.7111,16.2032,0.577652,0.130839,4,14.2146,16.6311,0.596591,0.222068,4,7.54901,17.0773,1.04545,0.149193,5,7.27231,17.1499,0.545455,0.125179,5,8.0271,17.0705,0.585227,0.144251,5,7.45603,17.1131,0.581439,0.134145,5,7.61707,17.1363,0.611742,0.195044,5,
34.7481,13.4677,100,3.67192,5,13.6548,14.4881,1.04545,0.144482,4,13.6164,13.2132,0.545455,0.120817,4,13.6467,14.4512,0.554924,0.133803,4,16.9817,11.0163,0.57197,0.123489,5,13.3738,14.3215,0.511364,0.165916,4,8.31936,14.37,1.04545,0.141156,5,8.98051,13.6274,0.545455,0.119481,6,8.35707,14.3814,0.564394,0.136685,5,9.63166,12.8642,0.583333,0.12998,6,9.6677,14.003,0.589015,0.188463,6,
16.994,17.1417,100,4.12384,4,13.5486,17.0985,1.04545,0.149732,4,13.7282,16.8415,0.545455,0.13318,4,13.8694,16.8031,0.577652,0.144342,4,14.0854,16.3872,0.590909,0.146033,4,13.2842,17.1059,0.528409,0.203828,4,8.28005,17.0514,1.04545,0.149207,5,7.32371,17.1419,0.545455,0.118047,5,7.7527,17.1288,0.566288,0.142437,5,7.41461,17.1421,0.560606,0.125903,5,7.75155,17.114,0.585227,0.208512,5,
20.9753,16.7215,100,4.0431,4,13.1859,16.7205,1.04545,0.143318,4,13.1596,16.7236,0.545455,0.120696,4,13.1702,16.6288,0.568182,0.145485,4,13.801,16.2853,0.566288,0.131018,4,13.5316,16.5226,0.566288,0.219843,4,7.81396,16.7202,1.04545,0.14917,5,7.76054,16.7215,0.545455,0.118345,5,7.47998,16.7237,0.579545,0.138138,5,7.76061,16.6894,0.581439,0.136323,5,7.88702,16.7136,0.621212,0.2342,5,
25.9059,15.6492,100,4.28286,4,13.8141,15.6684,1.04545,0.153727,4,13.6804,16.2925,0.545455,0.12141,4,13.717,15.9209,0.585227,0.143428,4,13.1715,17.312,0.613636,0.144635,4,13.6426,15.8178,0.587121,0.190025,4,8.01791,17.2702,1.04545,0.150951,5,8.09205,17.1847,0.545455,0.126132,5,7.7633,17.3186,0.625,0.157239,5,8.86399,15.9843,0.617424,0.158921,5,9.08234,16.3426,0.577652,0.203633,5,
17.8475,16.4035,100,2.58367,4,12.579,16.4167,1.04545,0.122984,4,12.5798,16.4167,0.545455,0.105668,4,13.2706,16.2276,0.564394,0.122066,4,12.5738,16.4167,0.5625,0.111981,4,12.6094,16.4167,0.443182,0.140594,4,7.06702,16.4167,1.04545,0.118374,5,6.88545,16.4167,0.545455,0.106068,5,7.07253,16.3935,0.564394,0.123329,5,7.21274,16.4167,0.5625,0.111543,5,6.91958,16.4167,0.443182,0.142369,5,
