baseline,baseline,baseline,baseline,baseline,setInterval_1000,setInterval_1000,setInterval_1000,setInterval_1000,setInterval_1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
4287.74,0.0664445,100,466.295,6,2668.08,0.0691903,0.142857,4.14425,6,1666.44,0.0655268,2.08492,13.482,6,2655.92,0.0650888,7.60714,84.564,6,
4549.55,0.0658206,100,472.729,6,2117.52,0.0694699,0.142857,4.8258,6,3071.36,0.0582092,2.09392,20.3357,6,2775.28,0.0643497,5.75714,98.529,6,
7429.9,0.0462642,100,664.305,6,2841.48,0.0401959,0.142857,6.5354,6,3111.61,0.0453816,2.05873,20.819,6,3450.28,0.0457626,3.74127,62.6918,6,
7832.73,0.157764,100,654.462,6,4264.1,0.141354,0.142857,6.08,6,4290.48,0.142333,2.1254,21.6742,6,4199.47,0.149188,2.59683,56.5628,6,
5455.88,0.164764,100,615.453,6,2108.15,0.168961,0.142857,4.02875,6,2268.38,0.151864,2.07738,13.9498,6,2571.49,0.150212,6.63095,80.0665,6,
4553.74,0.0939974,100,473.471,6,1838.36,0.0798285,0.142857,4.5856,6,2200.22,0.0946667,2.07857,16.217,6,2899.24,0.0963131,6.81481,75.4775,6,
4448.41,0.168324,100,467.271,6,1601.67,0.151845,0.142857,5.201,6,1657.77,0.152557,2.23333,17.2988,6,1791.61,0.155387,4.34603,48.9778,6,
3965.98,0.0585697,100,473.838,6,2569.74,0.0608181,0.142857,3.9638,6,1692.17,0.0576175,2.06905,12.7778,6,1911.17,0.0570051,4.97143,60.6952,6,
4471.39,0.0557097,100,459.567,6,2257.24,0.0583396,0.142857,4.393,6,1663.94,0.0515396,2.05635,12.7358,6,2350.09,0.0572517,2.2381,28.1118,6,
4571.97,0.123831,100,477.942,6,2725.09,0.113739,0.142857,4.2076,6,2188.45,0.0994991,2.13095,14.7392,6,2249.71,0.117472,3.21111,36.6212,6,
