u0,A00,A01,A02,A03,A10,A11,A12,A13,A20,A21,A22,A23,A30,A31,A32,A33,B00,B01,B02,B03,
0,1.0012,-0.000207711,0.00999368,1.43295e-05,-0.00155492,1.00146,1.43293e-05,0.00995305,0.120205,-0.0207711,0.999368,0.00143295,-0.155492,0.146281,0.00143293,0.995305,0.0126393,-0.028659,1.26393,-2.8659,
0,1.0012,-0.000186184,0.00999373,1.41758e-05,-0.00155174,1.0014,1.41754e-05,0.0099535,0.12008,-0.0186184,0.999373,0.00141758,-0.155174,0.139998,0.00141755,0.99535,0.0125423,-0.0283515,1.25423,-2.83515,
0,1.0012,-0.000165024,0.00999378,1.40222e-05,-0.0015485,1.00134,1.4022e-05,0.00995394,0.119952,-0.0165024,0.999378,0.00140222,-0.15485,0.133825,0.0014022,0.995394,0.0124457,-0.0280444,1.24457,-2.80444,
0,1.0012,-0.00014424,0.00999383,1.3869e-05,-0.00154521,1.00128,1.38688e-05,0.00995439,0.119823,-0.014424,0.999383,0.0013869,-0.154521,0.127767,0.00138687,0.995439,0.0123494,-0.027738,1.23494,-2.7738,
0,1.0012,-0.000123841,0.00999387,1.37162e-05,-0.00154187,1.00122,1.37159e-05,0.00995483,0.119693,-0.0123841,0.999387,0.00137162,-0.154187,0.121825,0.00137159,0.995483,0.0122536,-0.0274323,1.22536,-2.74323,
0,1.0012,-0.000103834,0.00999392,1.35639e-05,-0.00153849,1.00116,1.35636e-05,0.00995528,0.119561,-0.0103834,0.999392,0.00135639,-0.153849,0.116003,0.00135636,0.995528,0.0121582,-0.0271277,1.21582,-2.71277,
0,1.00119,-8.42261e-05,0.00999397,1.34121e-05,-0.00153506,1.0011,1.34118e-05,0.00995572,0.119428,-0.00842261,0.999397,0.00134121,-0.153506,0.110301,0.00134118,0.995572,0.0120633,-0.0268241,1.20633,-2.68241,
0,1.00119,-6.50213e-05,0.00999402,1.32609e-05,-0.0015316,1.00105,1.32606e-05,0.00995616,0.119294,-0.00650213,0.999402,0.00132609,-0.15316,0.104721,0.00132606,0.995616,0.011969,-0.0265218,1.1969,-2.65218,
0,1.00119,-4.62239e-05,0.00999406,1.31104e-05,-0.0015281,1.00099,1.31102e-05,0.00995659,0.119159,-0.00462239,0.999406,0.00131104,-0.15281,0.0992644,0.00131102,0.995659,0.0118754,-0.0262208,1.18754,-2.62208,
0,1.00119,-2.78369e-05,0.00999411,1.29607e-05,-0.00152458,1.00094,1.29604e-05,0.00995703,0.119024,-0.00278369,0.999411,0.00129607,-0.152458,0.0939321,0.00129604,0.995703,0.0117823,-0.0259213,1.17823,-2.59213,
0,1.00119,-9.86211e-06,0.00999416,1.28118e-05,-0.00152102,1.00089,1.28114e-05,0.00995746,0.118887,-0.000986212,0.999416,0.00128118,-0.152102,0.0887246,0.00128115,0.995746,0.01169,-0.0256235,1.169,-2.56235,
0,1.00119,7.69919e-06,0.0099942,1.26637e-05,-0.00151743,1.00084,1.26634e-05,0.00995789,0.11875,0.000769919,0.99942,0.00126637,-0.151743,0.0836422,0.00126634,0.995789,0.0115984,-0.0253273,1.15984,-2.53273,
0,1.00119,2.48468e-05,0.00999425,1.25165e-05,-0.00151383,1.00079,1.25162e-05,0.00995831,0.118612,0.00248468,0.999425,0.00125165,-0.151383,0.078685,0.00125162,0.995831,0.0115076,-0.025033,1.15076,-2.5033,
