baseline,baseline,baseline,baseline,baseline,setInterval100,setInterval100,setInterval100,setInterval100,setInterval100,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
6.91903,12.7483,100,0.847398,4,4.4437,12.66,1.04545,0.0503057,4,4.52349,12.0182,0.545455,0.0442258,4,4.49596,12.7674,0.564394,0.0588057,4,4.55111,12.055,0.564394,0.0472433,4,4.55254,15.7014,0.280303,0.057056,4,2.63796,13.5763,1.04545,0.048719,5,2.7508,13.5684,0.545455,0.0456463,5,3.09318,13.5907,0.598485,0.0531366,5,3.38448,12.1091,0.583333,0.0491096,6,3.01809,15.3752,0.238636,0.0507534,5,
6.27544,17.3779,100,0.967251,4,4.45674,17.3968,1.04545,0.052135,4,4.4385,17.3978,0.545455,0.04737,4,4.38791,17.3974,0.556818,0.0533985,4,4.40383,17.3989,0.556818,0.049364,4,4.48753,16.5821,0.507576,0.062818,4,2.65456,15.7089,1.04545,0.0509603,5,2.66364,16.5438,0.545455,0.0451317,5,2.74737,16.182,0.579545,0.053979,5,2.85658,16.235,0.564394,0.0491013,5,2.93968,16.1499,0.564394,0.063108,5,
6.37287,15.2344,100,0.996761,4,4.50025,15.2365,1.04545,0.0517075,4,4.39582,15.254,0.545455,0.0454085,4,4.50576,15.1624,0.57197,0.0573027,4,4.46804,15.2794,0.568182,0.0550385,4,4.47533,15.2543,0.310606,0.0557345,4,2.47222,15.2809,1.04545,0.052552,5,2.68214,15.2803,0.545455,0.045389,5,2.40893,15.2809,0.57197,0.054953,5,2.39066,15.2809,0.568182,0.049991,5,2.26036,15.2809,0.295455,0.05378,5,
6.01694,14.97,100,0.905975,4,4.41045,14.9702,1.04545,0.0504315,4,4.31793,14.97,0.545455,0.045096,4,4.36894,14.9701,0.556818,0.0570725,4,4.35133,14.9703,0.560606,0.048582,4,4.32579,14.9717,0.295455,0.0547765,4,2.55464,14.8799,1.04545,0.0507773,5,2.54557,14.875,0.545455,0.0452773,5,2.5951,14.8824,0.556818,0.052235,5,2.72286,14.8704,0.560606,0.049419,5,3.13691,14.5597,0.412879,0.0598896,5,
5.18618,15.4601,100,0.936157,4,4.25562,15.4505,1.04545,0.050886,4,4.33973,15.4601,0.545455,0.0452665,4,4.39763,15.4192,0.556818,0.052463,4,4.35496,15.4602,0.560606,0.047965,4,4.47014,15.4351,0.280303,0.054396,4,2.49674,15.4506,1.04545,0.050586,5,2.68999,15.4591,0.545455,0.0532,5,2.47728,15.4197,0.556818,0.0528435,5,2.4023,15.4264,0.560606,0.0481365,5,2.60315,15.4603,0.272727,0.059614,5,
6.09136,15.0505,100,0.923369,4,4.35626,14.9134,1.04545,0.051376,4,4.25853,15.4902,0.545455,0.045303,4,4.35008,15.417,0.55303,0.051817,4,4.47402,15.413,0.55303,0.05196,4,4.38638,16.6304,0.333333,0.065135,4,2.62105,15.8357,1.04545,0.0529013,5,2.86458,15.1994,0.545455,0.045416,5,2.62058,14.8925,0.568182,0.0525777,5,2.8113,14.934,0.560606,0.0533107,5,2.88797,16.576,0.325758,0.0644493,5,
6.21235,15.4058,100,0.931046,4,4.54279,15.3501,1.04545,0.0520547,4,4.48921,15.2837,0.545455,0.0454353,4,4.49773,15.2975,0.556818,0.0561707,4,4.47003,14.9564,0.564394,0.0532653,4,4.51,15.508,0.284091,0.0557825,4,2.21096,15.5396,1.04545,0.05073,5,2.2427,15.5396,0.545455,0.050155,5,2.35406,15.5396,0.556818,0.059546,5,2.21318,15.5396,0.556818,0.048313,5,2.59091,15.5396,0.280303,0.053783,5,
5.93882,14.4451,100,0.896111,4,4.35039,14.4452,1.04545,0.0500235,4,4.24189,14.446,0.545455,0.0450545,4,4.2883,14.4483,0.55303,0.0526585,4,4.38903,14.4496,0.55303,0.048345,4,4.27306,14.4387,0.231061,0.046651,4,2.70039,14.1382,1.04545,0.0503237,5,2.63806,14.0159,0.545455,0.0450003,5,2.64824,14.0822,0.556818,0.0528807,5,2.6106,14.0989,0.556818,0.04825,5,2.45379,14.3035,0.227273,0.047092,5,
6.86884,15.4047,100,0.872538,4,4.46018,15.45,1.04545,0.0503983,4,4.39479,15.524,0.545455,0.0535985,4,4.30598,15.524,0.55303,0.05146,4,4.35047,15.524,0.55303,0.047335,4,4.28283,15.4652,0.215909,0.047762,4,2.19648,15.524,1.04545,0.050492,5,2.17631,15.524,0.545455,0.044471,5,2.27798,15.524,0.55303,0.051668,5,2.3453,15.524,0.55303,0.066403,5,2.30357,15.524,0.19697,0.043956,5,
