5,5,5,5,5,5,
final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,
9.68323e-05,158.097,6.19477,0.0616,0.0688667,100,
0.00366463,273.067,3.5387,0.0580667,0.0653333,100,
