Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.994174,58.697,6,2,16.75,14,0,5,0,6,2,24
0.832707,47.028,6,2,13.4,9,0,4,0,4,2,22
0.888036,48.164,6,2,13.4,11,0,4,0,4,2,21
0.949032,57.2,6,2,20.1,15,0,6,0,6,0,26
0.822504,58.37,6,2,20.1,17,0,6,0,7,1,27
0.987581,57.166,6,2,20.1,16,0,6,0,6,0,26
0.98228,48.01,6,2,13.4,11,0,4,0,4,2,23
0.956021,57.734,6,2,20.1,15,0,6,0,6,1,27
0.839483,58.003,6,2,20.1,16,0,6,0,8,0,26
0.961677,52.877,6,2,16.75,12,0,5,0,6,2,23
0.98102,50.821,6,2,16.75,11,0,5,0,5,1,22
0.91017,62.333,6,2,20.1,16,0,6,0,9,0,29
0.90637,51.48,6,2,13.4,11,0,4,0,4,2,26
0.825048,55.267,6,2,20.1,12,0,6,0,6,0,24
0.977776,55.664,6,2,20.1,13,0,6,0,6,0,25
0.982043,56.286,6,2,16.75,14,0,5,0,7,0,27
0.829456,59.259,6,2,20.1,15,0,6,0,7,1,27
0.86317,45.733,6,2,13.4,8,0,4,0,4,1,21
0.978021,53.397,6,2,16.75,13,0,5,0,5,0,25
0.972904,58.606,6,2,20.1,16,0,6,0,6,0,27
0.977686,59.6,6,2,20.1,17,0,6,0,7,0,27
0.984238,53.962,6,2,20.1,12,0,6,0,6,0,24
0.783361,50.698,6,2,13.4,11,0,4,0,6,2,25
0.990664,62.917,6,2,20.1,17,0,6,0,9,0,29
0.987441,55.52,6,2,20.1,13,0,6,0,6,1,26
0.983058,58.464,6,2,20.1,14,0,6,0,7,0,27
0.86123,59.811,6,2,20.1,18,0,6,0,7,0,28
0.993075,56.695,6,2,20.1,15,0,6,0,7,1,25
0.990458,54.903,6,2,20.1,13,0,6,0,6,0,24
0.956581,48.076,6,2,10.05,6,0,3,0,3,3,26
0.60849,51.092,6,2,13.4,11,0,4,0,5,1,26
0.907011,44.747,6,2,10.05,8,0,3,0,3,3,22
0.983865,53.858,6,2,20.1,13,0,6,0,6,0,24
0.949928,54.645,6,2,16.75,14,0,5,0,6,1,26
0.901064,50.873,6,2,13.4,12,0,4,0,6,2,24
0.840122,53.212,6,2,16.75,13,0,5,0,5,1,23
0.973491,55.041,6,2,20.1,14,0,6,0,6,0,25
0.817105,51.058,6,2,13.4,10,0,4,0,4,2,25
0.992281,59.361,6,2,20.1,17,0,6,0,10,1,26
0.972183,49.409,6,2,16.75,10,0,5,0,5,0,23
0.980096,55.225,6,2,20.1,14,0,6,0,6,0,24
0.935739,50.585,6,2,13.4,10,0,4,0,5,0,25
0.880218,58.911,6,2,20.1,15,0,6,0,8,0,28
0.822671,47.402,6,2,13.4,8,0,4,0,4,3,22
0.950216,50.142,6,2,16.75,10,0,5,0,5,1,24
0.619255,47.856,6,2,10.05,8,0,3,0,3,3,24
0.964963,49.031,6,2,13.4,10,0,4,0,5,2,24
0.789674,51.681,6,2,16.75,11,0,5,0,5,1,23
0.942269,50.764,6,2,16.75,12,0,5,0,5,0,23
0.988609,56.238,6,2,16.75,14,0,5,0,6,2,27
0.98544,52.943,6,2,16.75,12,0,5,0,5,1,25
0.991949,54.557,6,2,20.1,12,0,6,0,6,0,24
0.990994,57.016,6,2,20.1,14,0,6,0,6,1,26
0.959528,59.445,6,2,20.1,16,0,6,0,8,0,27
0.918039,56.54,6,2,20.1,15,0,6,0,6,0,25
0.85117,54.147,6,2,20.1,12,0,6,0,6,0,24
0.95433,62.174,6,2,20.1,18,0,6,0,10,1,27
0.984524,59.342,6,2,20.1,16,0,6,0,7,1,27
0.978793,54.01,6,2,20.1,13,0,6,0,6,0,24
0.979117,56.364,6,2,20.1,14,0,6,0,7,0,25
0.838268,52.106,6,2,13.4,12,0,4,0,5,2,26
0.988295,59.951,6,2,20.1,15,0,6,0,7,1,27
0.981192,46.112,6,2,13.4,8,0,4,0,4,1,22
0.975931,59.661,6,2,20.1,17,0,6,0,7,2,27
0.894545,49.866,6,2,13.4,12,0,4,0,5,1,22
0.62685,44.688,6,2,10.05,9,0,3,0,5,3,20
0.976003,55.267,6,2,20.1,13,0,6,0,6,0,25
0.8952,44.005,6,2,10.05,7,0,3,0,3,2,23
0.969817,61.003,6,2,20.1,16,0,6,0,8,2,27
0.804479,53.304,6,2,16.75,13,0,5,0,5,1,24
0.82086,57.352,6,2,20.1,15,0,6,0,6,1,25
0.987625,59.27,6,2,20.1,17,0,6,0,6,0,27
0.932182,55.312,6,2,16.75,14,0,5,0,7,1,26
0.757881,47.862,6,2,13.4,10,0,4,0,4,2,22
0.822177,57.486,6,2,20.1,15,0,6,0,7,0,25
0.968177,57.949,6,2,20.1,16,0,6,0,8,2,24
0.962501,59.274,6,2,20.1,17,0,6,0,7,0,26
0.984173,53.637,6,2,20.1,13,0,6,0,6,0,23
0.977477,58.891,6,2,20.1,17,0,6,0,6,0,27
0.968862,59.214,6,2,20.1,18,0,6,0,9,0,27
0.987789,56.945,6,2,20.1,15,0,6,0,6,1,25
0.981522,51.732,6,2,16.75,11,0,5,0,5,1,23
0.973904,51.299,6,2,13.4,11,0,4,0,6,0,26
0.763013,48.474,6,2,10.05,9,0,3,0,4,3,25
0.91977,44.579,6,2,10.05,8,0,3,0,4,3,20
0.983671,49.793,6,2,16.75,10,0,5,0,5,1,22
0.741618,52.243,6,2,13.4,12,0,4,0,6,2,24
0.973439,55.396,6,2,16.75,13,0,5,0,7,2,27
0.983586,57.412,6,2,20.1,13,0,6,0,6,0,26
0.98907,57.352,6,2,20.1,16,0,6,0,6,0,25
0.970522,60.185,6,2,20.1,18,0,6,0,6,1,29
0.98658,58.79,6,2,20.1,16,0,7,0,7,1,25
0.933076,47.21,6,2,13.4,9,0,4,0,4,2,21
0.974139,60.356,6,2,20.1,17,0,6,0,8,1,26
0.786542,49.338,6,2,13.4,10,0,4,0,4,2,23
0.976081,56.117,6,2,20.1,13,0,6,0,7,0,25
0.780284,50.815,6,2,16.75,11,0,5,0,5,1,24
0.982425,48.552,6,2,10.05,8,0,3,0,4,4,25
0.848324,51.421,6,2,13.4,12,0,4,0,4,4,23
0.783695,52.088,6,2,16.75,13,0,5,0,5,1,24
