Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP
23.677,14.9953,36.5122,10.1234,1.15663,3.71523
0.110868,14.4847,40.444,10.9619,1.20073,2.32202
9.42326,15.0533,39.0076,10.8249,1.18407,3.04433
0.227573,14.8701,42.0921,11.2357,1.20053,2.43385
0.228485,14.7411,41.9496,11.0337,1.19097,2.51642
0.590004,14.3774,42.6091,10.8209,1.1971,2.35939
0.264497,13.8855,37.8846,10.1858,1.17493,2.52478
0.232116,14.2836,40.9,10.6662,1.20261,2.41484
27.3114,14.9675,35.2386,9.96216,1.1597,3.8456
0.064938,14.3057,40.6685,10.714,1.18702,2.40465
0.205902,14.7294,40.5799,11.0293,1.20412,2.496
0.104184,14.2552,40.696,10.7415,1.19056,2.32314
0.235166,14.4884,41.4684,10.8573,1.18885,2.44222
0.827022,14.0705,38.0764,10.3109,1.1806,2.57906
0.620878,14.1432,37.0183,10.2842,1.17291,2.68607
15.8201,13.2927,31.2921,8.79886,1.09035,3.40346
0.264177,14.2292,40.0255,10.4928,1.18822,2.54819
0.619677,14.6859,42.2761,11.0327,1.19756,2.45564
6.13482,13.7269,36.401,9.84783,1.17271,2.70633
0.817369,14.4021,39.1487,10.5432,1.18046,2.67836
19.8186,9.905,17.0015,5.22198,1.00333,3.6797
0.385605,14.5368,41.8996,11.0883,1.12106,2.32738
21.6575,14.1208,32.3126,9.25382,1.13398,3.73298
0.189701,14.2528,41.2521,10.7311,1.20009,2.32163
0.389068,14.7102,39.8988,10.8163,1.18591,2.70807
0.402023,14.4418,38.775,10.628,1.1845,2.62925
0.954124,14.2858,38.2396,10.3195,1.16926,2.79703
0.493075,14.4452,40.1196,10.5743,1.18537,2.68551
2.66452,14.4568,39.6681,10.7111,1.19074,2.55491
26.2993,15.0655,35.8428,10.0821,1.1617,3.82168
0.215889,14.7858,41.8136,11.1561,1.20603,2.42368
0.631048,13.9741,37.7555,10.2767,1.18236,2.51507
28.4683,14.6826,32.985,9.64158,1.13693,3.90413
9.83185,11.688,25.421,7.44472,1.07903,3.16423
0.421986,13.9168,36.8849,10.2512,1.12132,2.54419
1.14199,14.7574,37.7635,10.5245,1.17934,3.0536
0.886514,14.6029,40.8044,10.7181,1.18854,2.69629
0.136632,14.0767,39.1881,10.4733,1.18711,2.41632
0.170621,14.0082,37.5283,10.2395,1.17404,2.59458
0.394359,14.6003,40.5395,10.9293,1.20019,2.47077
0.179457,14.6007,42.3222,11.0391,1.19578,2.36576
0.159881,14.3113,41.3064,10.752,1.1972,2.36207
0.171297,14.254,40.9291,10.7805,1.19215,2.28129
6.17416,14.676,38.1694,10.4381,1.17369,3.06422
0.178679,13.758,37.2476,9.99645,1.17242,2.58914
0.546011,14.6973,39.8195,10.7585,1.18573,2.75305
0.616354,14.8281,40.5549,10.9291,1.1963,2.70263
1.07909,14.0902,36.6037,10.1304,1.16218,2.79758
0.251829,14.4265,40.7976,10.6833,1.19106,2.55213
