Iteration,Cost,Cost reduction,time (ms)
0,154.269,0.145032,147.071
1,147.322,0.183534,487.132
2,24.08,0.866547,608.394
3,24.08,0.866547,725.911
4,24.08,0.866547,799.429
5,24.08,0.866547,872.548
6,24.08,0.866547,941.551
