Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.10996,5624.23,6,19,66.6667,4877,0,4711,0,164,251,435
0.607909,7243.2,6,19,83.3333,6460,0,6253,0,204,257,459
0.40061,5695,6,19,66.6667,4954,0,4788,0,162,254,427
0.326688,5783.8,6,19,66.6667,5039,0,4875,0,163,252,433
0.312141,6746.82,6,19,83.3333,5986,0,5778,0,205,256,445
0.00538767,3073.34,6,19,33.3333,2396,0,2313,0,82,244,378
0.684172,6860.62,6,19,83.3333,6086,0,5879,0,204,260,451
0.517733,5784.46,6,19,66.6667,5023,0,4859,0,162,251,445
0.780126,7022.49,6,19,83.3333,6225,0,6019,0,203,250,481
0.504749,6989.13,6,19,83.3333,6231,0,6024,0,203,254,447
0.149461,6715.51,6,19,83.3333,5939,0,5726,0,209,256,455
