Iteration,Cost,Cost reduction,time (ms)
0,9.224,0.795956,11.629
1,3.57645,0.920885,21.865
2,2.08046,0.953978,32.356
3,1.4358,0.968239,42.833
4,1.26145,0.972096,53.468
5,1.12216,0.975177,64.07
