Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.609945,613.692,6.476,1,2,20.2,1.639,0.004,0.705,0.022,0.907,0.419,2.119
0.545557,408.42,6.801,1,2,20.2,1.574,0.004,0.572,0.027,0.969,0.428,2.453
0.909832,0.811035,6.788,1,2,20.2,1.73,0.005,0.674,0.023,1.025,0.628,2.309
0.777687,266.195,6.161,1,2,20.2,1.67,0.004,0.695,0.023,0.945,0.434,1.959
0.983734,5.44861,6.52,1,2,20.2,1.573,0.004,0.591,0.031,0.945,0.428,2.181
0.7114,0.360519,6.521,1,2,20.2,1.704,0.004,0.739,0.02,0.939,0.382,2.104
0.828324,3.75902,6.875,1,2,20.2,1.782,0.004,0.713,0.023,1.04,0.72,2.067
0.779666,1.60439,6.797,1,2,20.2,1.783,0.004,0.776,0.022,0.979,0.435,2.225
0.792423,3.30435,6.622,1,2,20.2,1.782,0.004,0.737,0.019,1.021,0.429,2.135
0.949744,20.2581,6.187,1,2,20.2,1.617,0.004,0.719,0.022,0.869,0.374,2.043
0.982372,20.9879,6.654,1,2,20.2,1.696,0.004,0.747,0.021,0.922,0.419,2.192
0.848634,2.42596,6.572,1,2,20.2,1.623,0.004,0.616,0.03,0.971,0.431,2.07
0.921405,2.08078,6.968,1,2,20.2,1.924,0.007,0.888,0.022,1.006,0.426,2.17
0.965607,8.40779,6.925,1,2,20.2,1.834,0.004,0.729,0.022,1.076,0.517,2.309
0.961908,9.61815,6.215,1,2,20.2,1.475,0.004,0.58,0.023,0.866,0.429,2.007
0.895167,152.285,7.332,1,2,20.2,1.861,0.004,0.812,0.02,1.023,0.704,2.572
0.843293,129.326,6.337,1,2,20.2,1.742,0.004,0.612,0.022,1.101,0.411,2.045
0.963531,4.82833,6.781,1,2,20.2,1.642,0.004,0.694,0.022,0.919,0.424,2.101
0.647419,136.272,6.808,1,2,20.2,1.622,0.004,0.71,0.022,0.885,0.423,2.164
0.940778,21.8236,8.191,1,2,20.2,2.166,0.004,0.642,0.026,1.492,0.459,2.864
0.608417,608.842,6.672,1,2,20.2,1.711,0.005,0.718,0.02,0.967,0.44,2.288
0.947532,8.68532,7.029,1,2,20.2,1.855,0.005,0.83,0.021,0.998,0.378,2.617
0.94462,0.0181616,6.666,1,2,20.2,1.686,0.004,0.735,0.023,0.921,0.414,2.16
0.737484,379.148,6.437,1,2,20.2,1.718,0.004,0.716,0.022,0.974,0.419,2
0.908016,1.39483,6.842,1,2,20.2,1.931,0.004,0.736,0.03,1.158,0.482,2.145
0.934567,10.0865,6.535,1,2,20.2,1.777,0.004,0.713,0.021,1.037,0.43,1.99
0.945973,20.9011,6.423,1,2,20.2,1.626,0.004,0.664,0.022,0.934,0.423,2.004
0.97684,8.84572,6.461,1,2,20.2,1.557,0.004,0.579,0.02,0.952,0.438,2.18
0.973961,1.22661,6.184,1,2,20.2,1.506,0.004,0.607,0.022,0.871,0.372,2.083
0.694417,386.486,6.303,1,2,20.2,1.541,0.004,0.63,0.023,0.881,0.435,2
0.921671,5.70154,6.784,1,2,20.2,1.635,0.004,0.678,0.021,0.93,0.427,2.213
0.918781,5.00764,6.55,1,2,20.2,1.577,0.004,0.628,0.027,0.916,0.368,2.148
0.918269,3.12569,6.521,1,2,20.2,1.617,0.004,0.673,0.022,0.916,0.424,2.218
0.743598,290.831,7.7,1,2,20.2,1.785,0.004,0.591,0.02,1.167,0.777,2.647
0.904654,4.42169,6.757,1,2,20.2,1.71,0.004,0.73,0.021,0.953,0.43,2.322
0.880603,190.427,6.285,1,2,20.2,1.711,0.007,0.746,0.027,0.93,0.362,2.088
0.208747,37.8258,6.611,1,2,20.2,1.742,0.005,0.77,0.022,0.942,0.435,2.246
0.932292,1.35717,6.391,1,2,20.2,1.551,0.004,0.607,0.025,0.913,0.43,2.053
