Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.879946,42.2824,31.917,1,2,0.4,1.626,0.003,0.552,0.016,1.054,22.95,1.34
0.587138,10.3896,12.374,1,2,0.4,1.414,0.001,0.468,0.018,0.925,7.366,1.308
0,21.6515,16.357,1,2,0.4,1.411,0.001,0.413,0.011,0.983,11.56,1.31
0.519228,6.01736,14.215,1,2,0.4,1.435,0.001,0.452,0.012,0.968,9.182,1.31
0,3.99185,22.589,1,2,0.4,1.666,0.001,0.665,0.011,0.987,17.55,1.312
0.966172,7.44285,19.79,1,2,0.4,1.503,0.001,0.596,0.013,0.891,14.334,1.38
0.568417,667.575,14.206,1,2,0.4,1.406,0.002,0.404,0.016,0.983,9.076,1.342
0.918914,4.49453,14.831,1,2,0.4,1.557,0.002,0.56,0.011,0.982,9.636,1.324
0.781399,244.722,58.928,1,2,0.4,1.854,0.002,0.652,0.011,1.188,53.484,1.316
0.593857,321.473,22.119,1,2,0.4,1.268,0.002,0.32,0.013,0.932,16.869,1.639
0.680337,451.833,17.494,1,2,0.4,1.746,0.002,0.649,0.012,1.081,12.117,1.324
0,15.2115,18.993,1,2,0.4,1.236,0.002,0.364,0.013,0.856,14.341,1.349
0,0.313105,8.886,1,2,0.4,1.647,0.001,0.594,0.012,1.037,3.802,1.342
0.389124,1.40412,24.721,1,2,0.4,1.767,0.002,0.314,0.012,1.437,19.305,1.339
0.494304,656.539,14.952,1,2,0.4,1.432,0.001,0.458,0.011,0.96,9.892,1.332
0.459869,771.451,13.277,1,2,0.4,1.199,0.002,0.313,0.013,0.869,8.474,1.31
0,5.22498,16,1,2,0.4,2.059,0.002,1.105,0.013,0.938,10.553,1.307
0,16.1681,17.063,1,2,0.4,1.588,0.002,0.596,0.011,0.977,12.077,1.313
0,521.902,17.704,1,2,0.4,1.591,0.001,0.486,0.011,1.091,12.709,1.31
0.655058,257.803,13.567,1,2,0.4,1.412,0.001,0.324,0.013,1.072,8.56,1.308
0.10716,1286.58,11.335,1,2,0.4,1.485,0.001,0.459,0.011,1.011,6.236,1.315
0.866469,39.2395,14.159,1,2,0.4,1.537,0.003,0.507,0.019,1.006,8.659,1.339
0,42.6554,18.553,1,2,0.4,1.322,0.001,0.379,0.013,0.927,13.853,1.32
0.83876,62.2751,20.767,1,2,0.4,1.742,0.001,0.639,0.012,1.088,15.189,1.387
0.859831,26.2758,16.995,1,2,0.4,1.42,0.002,0.394,0.015,1.006,11.755,1.32
0.956768,8.00584,24.979,1,2,0.4,1.773,0.002,0.658,0.014,1.097,19.359,1.324
0.15416,934.379,13.651,1,2,0.4,1.59,0.002,0.568,0.016,1.002,8.282,1.33
0.854847,48.7813,20.064,1,2,0.4,1.34,0.002,0.311,0.013,1.012,15.039,1.361
0.559072,661.448,21.099,1,2,0.4,1.356,0.002,0.346,0.013,0.994,16.123,1.33
0.729421,412.336,20.576,1,2,0.4,1.734,0.002,0.585,0.012,1.134,15.203,1.32
0.822679,0.12347,25.105,1,2,0.4,1.327,0.002,0.399,0.012,0.913,20.057,1.366
0,0.805195,45.91,1,2,0.4,1.689,0.002,0.577,0.012,1.096,40.771,1.349
0.967926,8.06642,13.607,1,2,0.4,1.6,0.002,0.517,0.016,1.064,7.914,1.349
0.404665,85.6933,18.99,1,2,0.4,1.491,0.002,0.485,0.013,0.989,13.83,1.334
0.418821,9.76974,8.526,1,2,0.4,1.611,0.001,0.646,0.011,0.95,3.236,1.31
0.863057,4.42888,9.479,1,2,0.4,1.445,0.002,0.419,0.013,1.01,4.407,1.333
0.849659,4.20524,8.934,1,2,0.4,1.467,0.002,0.317,0.013,1.134,3.849,1.316
0,177.215,17.619,1,2,0.4,1.447,0.001,0.409,0.011,1.023,12.683,1.357
0.87824,48.6544,26.783,1,2,0.4,1.503,0.001,0.414,0.012,1.073,21.61,1.339
0.284926,802.3,13.079,1,2,0.4,1.45,0.001,0.486,0.012,0.948,7.936,1.344
0.443823,574.253,13.151,1,2,0.4,1.447,0.001,0.542,0.013,0.888,8.039,1.347
0.506807,28.1997,33.841,1,2,0.4,1.379,0.001,0.339,0.012,1.024,28.797,1.334
0,7.71081,10.581,1,2,0.4,1.442,0.001,0.483,0.012,0.944,5.703,1.321
