Iteration,Cost,Cost reduction,time (ms)
0,7.169791436846482,0.0,30.84731101989746
1,7.080538098720156,0.012448526419839956,215.54207801818848
2,5.248025637622177,0.26803649954838327,589.1704559326172
3,4.557473683797955,0.3643505917931572,1899.7740745544434
4,3.7053887451128884,0.4831943470391038,3575.514316558838
5,3.21137056729836,0.5520970734525537,4315.688133239746
6,3.0541789464343028,0.5740212287433517,4993.5643672943115
7,2.993376000794311,0.5825016631012492,5750.772714614868
8,2.9675604968050067,0.5861022565378498,6741.94073677063
9,2.725422193969445,0.6198742713821285,7541.423082351685
10,2.496343451160112,0.6518248162239306,8398.6976146698
11,2.4963043332958583,0.6518302721517074,10939.115285873413
