Iteration,Cost,Cost reduction,time (ms)
0,26.5101,0.32656,100.173
1,23.1833,0.411072,172.153
2,17.2412,0.56202,244.945
3,17.2412,0.56202,314.432
4,17.2412,0.56202,361.929
