Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
0.0523847,47.4546,6.04085,21.6704,6.0573,11.4995,0.993772
0.0539452,39.4902,5.72688,18.7046,6.02509,7.89537,1.17333
0.0904733,43.7458,6.37933,22.7695,6.04637,7.87308,1.10908
0.0683257,43.6741,5.15283,20.0897,6.01768,9.35745,1.12124
0.0718052,34.3138,5.13515,16.3764,6.03184,6.03855,1.16163
0.0584562,45.584,6.51047,21.948,6.07333,9.26847,1.1053
0.0526502,44.9115,5.95154,20.4356,6.0162,10.4176,1.00949
0.0483945,38.7972,5.56073,18.8782,6.02058,7.06538,1.10837
0.0502182,42.759,6.22685,20.712,6.03787,8.46591,1.15398
0.0463649,41.1191,4.99793,18.3663,6.03817,8.95976,1.1014
0.0633942,49.584,6.75212,24.9958,6.04605,10.2239,1.04391
0.0996793,39.6874,5.49175,18.5861,6.0005,7.67102,1.13538
