Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
254.389,220.047,9.232,12.724,63.0725,0.939525,1.10572,10.0508
241.906,207.623,9.193,12.975,59.6812,0.838023,1.22097,9.31937
225.627,190.809,9.896,13.327,56.7536,0.781353,1.08046,8.40591
216.929,183.592,9.217,12.148,53.7971,1.04684,0.422609,7.928
209.139,171.628,11.16,14.671,50.1449,0.958939,0.902879,6.94351
224.791,180.843,13.425,17.499,46.6667,0.906641,0.857637,6.19841
228.883,181.18,13.733,18.307,43.1884,0.272229,0.930954,6.0038
216.838,168.706,13.318,18.623,41.4783,0.834949,1.07813,4.66368
204.389,156.018,13.437,19.011,38.4638,0.779809,0.945998,4.02354
199.474,151.493,12.521,18.369,35.4783,0.780113,0.635629,3.45565
190.198,141.473,12.708,18.96,32.4638,0.51481,0.339506,3.2043
178.087,131.585,12.147,17.903,30.4058,0.934519,0.396254,2.74581
166.887,118.279,12.05,19.441,26.9275,0.942164,0.381089,2.38999
154.863,107.494,11.9,18.699,23.6522,0.991069,0.345587,2.07784
147.609,100.087,12.374,18.163,20.3478,1.00646,0.229715,1.88004
124.505,79.099,11.768,17.244,16.9855,1.01121,0.195691,1.65759
113.902,67.73,11.455,17.582,13.5072,1.08815,0.231452,1.47432
104.741,58.046,11.448,18.145,10.029,0.928642,0.177783,1.35607
80.996,37.85,10.747,15.919,6.86957,1.15956,0.152053,1.22455
66.39,26.297,9.58,15.161,3.76812,1.1968,0.0851683,1.13637
63.729,25.407,9.323,14.429,2.55072,0.977756,0.0758612,1.05381
60.205,21.49,9.001,14.824,2.57971,1.01023,0.0808845,0.980287
60.315,21.195,8.836,15.501,2.28986,0.857923,0.0781908,0.919173
63.213,23.591,8.961,15.53,2.46377,0.899333,0.0865152,0.85645
63.718,23.042,8.977,15.808,2.49275,0.868509,0.073068,0.806062
63.982,23.441,8.871,15.492,2.4058,0.878581,0.0598224,0.761655
63.359,21.788,9.108,16.381,2.37681,0.821088,0.0545095,0.725091
65.346,23.317,9.327,16.224,2.6087,0.971477,0.054009,0.682068
64.341,22.259,9.069,16.778,2.55072,0.528816,0.0847846,0.658193
62.349,20.917,9.171,16.148,2.66667,0.522278,0.122257,0.61907
65.69,24.539,9.368,15.888,2.63768,0.68674,0.0412683,0.607183
64.346,23.903,9.263,15.645,2.66667,0.782062,0.0662006,0.575805
63.02,23.162,9.658,15.071,2.43478,0.0215892,0.0561811,0.595553
68.144,29.074,8.935,14.977,4.4058,0.644198,0.0554,0.570004
60.599,21.563,9.1,15.175,2.63768,0.621308,0.0640021,0.562667
59.804,21.165,8.851,15.132,2.52174,0.559175,0.0518933,0.565849
63.551,24.064,9.178,15.216,2.6087,0.284605,0.0607851,0.559507
60.636,21.364,9.094,15.044,2.43478,0.472751,0.0452758,0.547975
60.878,21.652,9.224,14.92,2.66667,0.508495,0.0507196,0.547091
62.632,23.07,9.663,14.738,2.66667,0.523449,0.04895,0.544524
59.37,20.66,8.905,14.77,2.66667,0.212768,0.0532304,0.544052
59.101,19.534,9.465,14.945,2.37681,0.540468,0.0294417,0.528109
59.672,21.308,9.339,14.835,2.66667,0.281215,0.0570028,0.517198
60.736,21.746,8.9,14.964,2.6087,0.354293,0.0466833,0.496965
62.182,23.776,8.685,14.896,2.6087,0.64493,0.0232119,0.478575
62.476,23.754,8.84,14.756,2.49275,0.726586,0.0230949,0.458279
61.462,22.888,9.028,14.282,2.63768,0.707657,0.0273201,0.437182
