Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.608891,22457.1,6,31,83.3333,20476,0,19883,0,589,807,1023
0,5607.05,6,31,16.6667,3923,0,3820,0,102,699,892
0.71383,16702.6,6,31,66.6667,14960,0,14519,0,439,706,947
0.750572,18764.6,6,31,83.3333,17100,0,16568,0,527,715,858
0.66913,20563.5,6,31,83.3333,18798,0,18256,0,537,710,959
0.5286,17516.5,6,31,66.6667,15642,0,15199,0,440,708,1061
0.885105,15273.3,6,31,83.3333,13924,0,13477,0,443,571,690
0.632043,11121.7,6,31,66.6667,9863,0,9541,0,319,508,664
0.568072,16762.2,6,31,83.3333,15390,0,14916,0,470,518,758
0.8266,15746.8,6,31,83.3333,14435,0,13958,0,473,525,704
0.634201,15277.1,6,31,83.3333,14041,0,13575,0,465,516,634
0.535662,16732.7,6,31,83.3333,15451,0,14979,0,468,521,676
0.833511,15921.1,6,31,83.3333,14618,0,14147,0,465,514,706
0.878818,15455.7,6,31,83.3333,14211,0,13740,0,468,520,646
0.761555,16151.9,6,31,83.3333,14844,0,14375,0,466,517,703
0.767018,13018.9,6,31,66.6667,11749,0,11376,0,371,517,671
0.69755,9730.72,6,31,50,8482,0,8205,0,275,530,641
0.708737,13402.4,6,31,66.6667,12053,0,11680,0,369,515,745
0.827063,15194.9,6,31,83.3333,13946,0,13474,0,469,518,651
0.723356,15977,6,31,83.3333,14673,0,14206,0,463,519,688
0.557335,15684.1,6,31,83.3333,14405,0,13936,0,466,514,684
0,4123.88,6,31,16.6667,2921,0,2828,0,92,509,618
0.581544,16311.8,6,31,83.3333,14976,0,14507,0,466,516,725
0.585273,15763.8,6,31,83.3333,14522,0,14057,0,460,519,642
0.327754,12792.1,6,31,66.6667,11551,0,11176,0,371,522,638
0.567128,15496.3,6,31,83.3333,14229,0,13765,0,459,516,666
0.776049,19069.8,6,31,100,17761,0,17199,0,558,535,689
0.85349,16455.6,6,31,83.3333,15126,0,14660,0,465,524,715
0.840318,15225.4,6,31,83.3333,13993,0,13521,0,466,518,641
0.00556145,10300.1,6,31,50,9043,0,8764,0,277,530,642
0.452277,15463.7,6,31,83.3333,14218,0,13751,0,463,525,640
0.797487,19553,6,31,100,18174,0,17615,0,554,536,750
0.580834,12889.7,6,31,66.6667,11622,0,11242,0,377,517,668
0.753883,18336.5,6,31,100,17067,0,16502,0,560,516,674
0.785905,16922.6,6,31,83.3333,15555,0,15089,0,462,516,759
0.621393,15634,6,31,83.3333,14357,0,13891,0,462,513,680
0.779825,15157.6,6,31,83.3333,13921,0,13451,0,467,517,643
0.724216,12222.4,6,31,66.6667,10990,0,10611,0,376,516,641
0.67756,15614.1,6,31,83.3333,14361,0,13888,0,468,518,653
0.779133,12685.1,6,31,66.6667,11447,0,11076,0,367,522,641
0.740541,15091.9,6,31,83.3333,13891,0,13423,0,465,518,604
0.696631,12900.3,6,31,66.6667,11632,0,11252,0,376,521,664
0.815648,15329.1,6,31,83.3333,14092,0,13623,0,467,532,626
0.755395,15495.9,6,31,83.3333,14244,0,13775,0,466,515,661
0.74056,14147.4,6,31,66.6667,12776,0,12401,0,373,512,768
0.555093,13153.6,6,31,66.6667,11846,0,11469,0,374,510,708
0.923048,16018.6,6,31,83.3333,14741,0,14274,0,462,515,678
0.852031,15597.7,6,31,83.3333,14362,0,13895,0,463,509,644
0.0395289,15825.5,6,31,83.3333,14597,0,14132,0,461,519,629
0.698217,16029,6,31,83.3333,14743,0,14272,0,465,509,694
0.732615,15439.6,6,31,83.3333,14182,0,13710,0,466,517,663
0.592861,15930.9,6,31,83.3333,14678,0,14209,0,463,507,664
0.808022,13147.3,6,31,66.6667,11843,0,11468,0,372,507,715
0.787224,13221.5,6,31,66.6667,11895,0,11520,0,373,511,730
0.726737,12516.6,6,31,66.6667,11290,0,10920,0,368,504,646
0.0177134,6973.65,6,31,33.3333,5785,0,5597,0,186,498,614
0.724005,12495.1,6,31,66.6667,11273,0,10894,0,374,506,639
0.633733,15502.8,6,31,83.3333,14226,0,13754,0,467,512,680
0.765712,16045.9,6,31,83.3333,14754,0,14287,0,463,514,682
0.575041,13935.3,6,31,66.6667,12577,0,12205,0,368,505,759
0.704932,15510.6,6,31,83.3333,14274,0,13801,0,470,508,646
0.872216,12135,6,31,66.6667,10966,0,10589,0,373,509,588
0.725795,16428.2,6,31,83.3333,15102,0,14632,0,467,512,727
0.683093,16246,6,31,83.3333,14942,0,14471,0,467,513,710
0.744505,16012.3,6,31,83.3333,14727,0,14257,0,468,508,690
0.70333,17997.5,6,31,100,16763,0,16201,0,557,512,646
0.843997,15730.9,6,31,83.3333,14481,0,14015,0,461,509,655
0.726197,15703.7,6,31,83.3333,14451,0,13978,0,469,512,657
0.769785,14926.1,6,31,83.3333,13716,0,13249,0,464,507,626
0.604878,16104.2,6,31,83.3333,14812,0,14340,0,468,512,693
0.535389,17798.6,6,31,83.3333,16449,0,15985,0,460,515,743
0.735262,15569.5,6,31,83.3333,14280,0,13810,0,465,517,686
0.743555,15504.5,6,31,83.3333,14240,0,13770,0,466,506,678
0.312292,9785.22,6,31,50,8554,0,8273,0,279,503,646
0.754883,18041.1,6,31,100,16799,0,16236,0,559,518,646
0.769744,14983.7,6,31,83.3333,13772,0,13302,0,466,509,623
0.593096,15634.9,6,31,83.3333,14360,0,13892,0,463,507,681
0.604849,16598,6,31,83.3333,15299,0,14828,0,469,515,692
0.672417,16006.8,6,31,83.3333,14722,0,14250,0,468,514,691
0.736101,15484.7,6,31,83.3333,14269,0,13798,0,468,508,627
0.608511,15690.7,6,31,83.3333,14464,0,13995,0,467,505,640
0.533805,15401.2,6,31,83.3333,14141,0,13671,0,466,508,669
0.490236,13097,6,31,66.6667,11859,0,11481,0,373,506,646
0.675317,16473.9,6,31,83.3333,15154,0,14693,0,460,509,710
0.828485,15829.1,6,31,83.3333,14574,0,14111,0,459,507,665
0.664921,15796.2,6,31,83.3333,14569,0,14098,0,465,507,639
0.489403,12952.9,6,31,66.6667,11713,0,11344,0,367,506,652
0.728286,17289.1,6,31,83.3333,15872,0,15404,0,465,518,808
0.806446,16300,6,31,83.3333,15000,0,14528,0,468,509,700
0.764227,9790.29,6,31,50,8560,0,8281,0,277,501,655
0.71685,12381.2,6,31,66.6667,11187,0,10808,0,375,508,605
0.598061,12890,6,31,66.6667,11613,0,11241,0,369,505,687
0.601703,16082,6,31,83.3333,14829,0,14359,0,465,515,655
0.851887,15707.1,6,31,83.3333,14495,0,14034,0,458,508,626
0.687487,18573.9,6,31,100,17330,0,16773,0,552,508,653
0.785088,15289.5,6,31,83.3333,14050,0,13580,0,467,506,652
0.867151,15136.1,6,31,83.3333,13931,0,13464,0,464,511,619
0.31812,16209.1,6,31,83.3333,14940,0,14472,0,463,507,680
0.575867,15703.5,6,31,83.3333,14441,0,13966,0,470,521,658
0.704417,15946.1,6,31,83.3333,14669,0,14200,0,465,506,686
