Iteration,Cost,Cost reduction,time (ms)
0,43.1126,0.724682,12.782
1,17.0301,0.891245,22.964
2,17.0301,0.891245,31.71
3,17.0301,0.891245,36.423
4,17.0301,0.891245,40.945
