Task number Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average percent derivs
0,0.9940530148878733,6.180418244214165,68.88505125045776,24,19.672131147540984
1,0.9968742925833292,3.2485895405778122,85.84877705574036,42,18.0327868852459
2,0.9648396578876299,36.544770365741265,29.998923540115356,6,39.34426229508197
3,0.9926338245621992,7.656670409370134,41.37722682952881,13,29.508196721311474
5,0.9957028248016134,4.467173523848231,142.64319038391113,37,26.229508196721312
6,0.9940595378180731,6.1732784853041185,30.556276321411133,16,16.39344262295082
7,0.993917630702413,6.320379573063314,41.10378456115723,17,19.672131147540984
8,0.9955417356617855,4.632453358549589,44.44472026824951,17,18.0327868852459
9,0.9942433733776227,5.981199522515134,59.24017691612244,25,21.311475409836063
10,0.9953790985010731,4.803995490314332,68.14643740653992,25,26.229508196721312
12,0.9935203619642758,6.7371967439948515,57.776211977005005,25,21.311475409836063
13,0.9492228489214966,52.79870863800559,112.92303037643433,8,47.540983606557376
14,0.9399283169142765,62.467104949375425,53.9464647769928,8,44.26229508196721
15,0.9942758370320001,5.947128584485755,42.37173509597778,17,19.672131147540984
16,0.9557669204850546,45.95341049655493,35.69399094581604,6,32.78688524590164
17,0.9963338505184123,3.808518749650867,81.09981775283813,29,18.0327868852459
18,0.9959893912134435,4.166119375498945,56.99310040473938,29,13.114754098360656
19,0.9950675976662332,5.123367469520924,73.82451248168945,24,14.754098360655737
