Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0,24.6288,175.355,1,9,1,3.348,0.001,1.018,0.066,2.26,167.657,1.781
0.78174,35.76,148.795,1,9,1,3.432,0.001,0.949,0.052,2.429,140.992,1.65
0.647551,43.7075,121.776,1,9,1,3.363,0.001,1.044,0.066,2.249,114.12,1.646
0.500292,61.1065,100.451,1,9,1,3.747,0.002,1.213,0.065,2.466,92.046,1.683
0.0668647,44.6868,112.114,1,9,1,3.417,0.001,1.062,0.056,2.295,104.309,1.729
0.431569,58.9429,70.516,1,9,1,3.863,0.001,1.606,0.063,2.191,62.087,1.808
0.597592,47.4475,107.487,1,9,1,3.624,0.001,1.136,0.064,2.421,99.203,1.72
0.645971,46.7463,64.316,1,9,1,3.611,0.002,1.024,0.053,2.531,56.157,1.767
0,115.078,135.344,1,9,1,3.972,0.001,1.43,0.063,2.476,127.048,1.712
0.0819711,155.516,49.907,1,9,1,3.204,0.001,0.931,0.048,2.222,42.373,1.742
0,32.4962,137.104,1,9,1,3.756,0.001,1.402,0.054,2.297,128.788,2.31
0.438465,48.9531,118.744,1,9,1,3.358,0.003,1.001,0.071,2.281,110.599,1.82
0,95.2836,113.716,1,9,1,3.374,0.001,1.147,0.057,2.166,106.195,1.737
0.70791,42.7215,40.521,1,9,1,3.538,0.001,1.174,0.07,2.291,32.651,1.68
0,28.8775,121.623,1,9,1,3.262,0.001,1.008,0.045,2.206,114.246,1.767
0.708358,29.0463,66.535,1,9,1,3.226,0.001,0.855,0.043,2.324,58.842,1.649
0,152.911,110.71,1,9,1,3.307,0.001,0.92,0.058,2.326,103.177,1.734
0,97.6971,128.956,1,9,1,3.756,0.002,1.468,0.08,2.204,121.024,1.625
0,135.696,87.389,1,9,1,3.52,0.001,0.856,0.062,2.599,79.763,1.664
