Iteration,Cost,Cost reduction,time (ms)
0,2.64951,0.160235,1999.39
1,2.18098,0.308737,3991.05
2,2.18098,0.308737,5977.21
3,2.18098,0.308737,6112.71
4,2.16824,0.312774,6251.49
5,1.65023,0.476958,8225.49
