Iteration,Cost,Cost reduction,time (ms)
0,1039.0710391131452,0.0,4249.314785003662
1,104.66050479287847,0.8992749284185545,11186.561107635498
2,55.410726604679965,0.9466728216658089,18191.200733184814
3,41.81410321565508,0.9597581862628529,23023.097038269043
4,23.021252530419098,0.9778443901679063,26067.55256652832
5,17.436907241763063,0.9832187534967334,29121.763944625854
6,10.20707185280966,0.9901767333814621,30829.044342041016
7,7.088459527611807,0.9931780799764549,32857.627391815186
8,6.523171212253688,0.9937221123804766,34101.940393447876
9,6.399472540418315,0.9938411597479607,35568.66216659546
10,6.150234796814395,0.9940810256803387,36639.58954811096
11,5.788779028855128,0.994428890026811,37769.72794532776
12,5.091116304587906,0.9951003193112444,39262.449502944946
13,4.869480515366997,0.9953136211750034,40544.74329948425
14,4.634421023913376,0.9955398419843663,41906.53324127197
15,4.62546447909623,0.9955484617461342,43609.572887420654
16,4.62546447909623,0.9955484617461342,46902.764320373535
