Iteration,Cost,Cost reduction,time (ms)
0,7.69402,0.0975307,607.89
1,7.69402,0.0975307,1195.51
2,7.69402,0.0975307,1319.84
3,7.69402,0.0975307,1441.1
4,7.69402,0.0975307,1564.92
5,7.69402,0.0975307,1691.47
6,7.69402,0.0975307,1816.63
