Iteration,Cost,Cost reduction,time (ms)
0,5662.48,0.00114,397.435
1,5623.89,0.00794678,781.714
2,5574.18,0.0167167,1164.85
3,5220.69,0.0790714,1624.76
4,3670.71,0.352487,2108.5
5,2897.14,0.488945,2631.8
6,1787.96,0.684604,3180.08
7,1353.64,0.761219,3738.77
8,908.18,0.839797,4273.21
9,908.18,0.839797,4813.5
