Iteration,Cost,Cost reduction,time (ms)
0,45.5035,0,316.901
1,45.5035,0,504.953
2,21.6949,0.523226,691.394
3,21.6949,0.523226,815.369
4,21.6949,0.523226,855.307
5,21.6949,0.523226,895.006
6,21.6949,0.523226,934.54
