Iteration,Cost,Cost reduction,time (ms)
0,30.6564,0.344388,116.047
1,18.3002,0.608636,195.047
2,13.6189,0.708748,277.224
3,13.0589,0.720725,359.813
4,12.2557,0.737901,444.69
5,12.2557,0.737901,532.853
