Iteration,Cost,Cost reduction,time (ms)
0,4.8269354368464406,0.0,29.799222946166992
1,4.483816496536108,0.07108421995685543,179.2612075805664
2,3.8775585966891963,0.19668314452896352,567.8765773773193
3,3.725623887323214,0.22815957742387816,942.1989917755127
4,3.5071733741644304,0.2734161415559029,1827.8172016143799
5,3.3530278481915716,0.3053505910611082,2180.306911468506
6,2.932764406303229,0.39241689791084544,2457.958221435547
7,1.970637608793091,0.5917414611038265,2748.34942817688
8,1.8769527159999253,0.6111502338166375,3341.1996364593506
9,1.8634342514502422,0.6139508647193195,3696.9943046569824
10,1.8633126970377325,0.6139760472422888,4193.2103633880615
