Iteration,Cost,Cost reduction,time (ms)
0,122.837,0.157306,10.388
1,106.33,0.270551,17.818
2,84.0736,0.423233,25.757
3,77.152,0.470717,33.694
4,57.442,0.605933,41.809
5,38.1675,0.738161,49.75
6,36.1507,0.751997,57.579
7,36.1507,0.751997,64.924
