Iteration,Cost,Cost reduction,time (ms)
0,7.21241,0.654224,146.481
1,7.21241,0.654224,248.109
2,7.21241,0.654224,322.487
3,6.96387,0.666139,399.376
4,6.96387,0.666139,497.989
5,6.45987,0.690302,572.294
6,6.45987,0.690302,673.203
