Iteration,Cost,Cost reduction,time (ms)
0,44.8256,0.638535,12.818
1,31.2611,0.747916,22.691
2,16.8202,0.864365,31.965
3,15.7743,0.872799,41.34
4,14.5159,0.882946,50.427
5,12.7112,0.897499,60.457
6,12.7112,0.897499,69.816
