Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
1.80436,9.75712,2.66667,1.06194,1.35354,5.81257,0.266984
2.91526,9.77152,2.66667,1.08476,1.35834,5.80613,0.274922
2.37787,9.72087,2.66667,1.06864,1.35984,5.75011,0.267612
1.26007,9.64144,2.66667,1.05046,1.34525,5.71935,0.266854
1.91997,9.80946,2.66667,1.04142,1.35848,5.89359,0.214618
1.84336,9.80731,2.66667,1.06275,1.34024,5.87538,0.260356
1.1444,9.60237,2.66667,1.03683,1.34405,5.6968,0.303158
1.38866,9.75164,2.66667,1.06433,1.35389,5.78938,0.285315
1.06813,9.63855,2.66667,1.05904,1.36255,5.66505,0.309192
1.54562,9.8408,2.66667,1.07206,1.35951,5.86205,0.287548
2.69861,9.78328,2.66667,1.07489,1.35434,5.83061,0.256058
0.964574,9.69232,2.66667,1.05721,1.37538,5.69382,0.318982
1.8926,9.78267,2.66667,1.03446,1.35977,5.879,0.246695
1.245,9.72054,2.66667,1.04131,1.34941,5.80507,0.272842
3.48014,9.66992,2.66667,1.04432,1.34126,5.78075,0.191941
2.65821,9.8785,2.66667,1.07624,1.33979,5.93531,0.268026
0.846007,9.47984,2.66667,1.05144,1.34922,5.53491,0.349333
1.11449,9.60992,2.66667,1.05937,1.36051,5.63887,0.252512
2.54994,9.90458,2.66667,1.07625,1.34237,5.95673,0.278157
1.43453,9.86629,2.66667,1.07551,1.35808,5.87821,0.256801
2.21897,9.72484,2.66667,1.06726,1.34397,5.7849,0.256689
2.20963,9.80624,2.66667,1.07098,1.3567,5.8384,0.284846
1.75204,9.62558,2.66667,1.04224,1.34915,5.71655,0.268364
2.57881,10.0303,2.66667,1.10825,1.34955,6.00579,0.402488
0.658037,9.68148,2.66667,1.04927,1.34501,5.75921,0.33939
2.10505,9.71598,2.66667,1.0778,1.35177,5.76056,0.220845
1.19138,9.69603,2.66667,1.05176,1.35482,5.7634,0.249967
1.77511,9.84793,2.66667,1.04611,1.35767,5.9214,0.26118
3.36095,9.94688,2.66667,1.07526,1.3586,5.99482,0.261301
0.586333,9.453,2.66667,1.05505,1.35288,5.50239,0.350277
2.32482,9.69475,2.66667,1.05818,1.35451,5.75489,0.271864
1.66941,9.77395,2.66667,1.05786,1.35063,5.84158,0.240792
0.958701,9.6548,2.66667,1.05315,1.36218,5.70001,0.272223
2.14387,9.92037,2.66667,1.07198,1.35531,5.95905,0.223304
0.98746,9.69809,2.66667,1.06765,1.34727,5.74596,0.351664
1.59928,9.79732,2.66667,1.04892,1.35809,5.8543,0.271365
1.68528,9.64785,2.66667,1.03272,1.35068,5.74069,0.23413
1.93311,9.77502,2.66667,1.04855,1.35981,5.8235,0.275948
3.1808,9.87807,2.66667,1.06733,1.35859,5.91783,0.235465
1.46559,9.88067,2.66667,1.05188,1.36684,5.90409,0.314687
1.89591,9.7795,2.66667,1.06248,1.34784,5.84032,0.282618
1.57236,9.66782,2.66667,1.07168,1.36326,5.69527,0.256462
1.87808,9.72017,2.66667,1.04522,1.34281,5.82276,0.23046
1.7015,9.98351,2.66667,1.06291,1.37912,5.97182,0.267266
2.37627,9.86354,2.66667,1.05961,1.35559,5.92569,0.235371
2.35265,9.79084,2.66667,1.06972,1.35061,5.85832,0.268888
1.43863,9.63303,2.66667,1.05452,1.34774,5.70688,0.314502
1.3222,9.70382,2.66667,1.07835,1.34497,5.74109,0.29987
1.92709,9.71905,2.66667,1.05207,1.34725,5.79478,0.217788
2.01621,9.87892,2.66667,1.05545,1.3747,5.89285,0.255448
1.39601,9.74203,2.66667,1.07736,1.36329,5.75564,0.305083
2.36794,9.75134,2.66667,1.06389,1.36668,5.79477,0.195737
0.902609,9.63599,2.66667,1.06379,1.36229,5.64951,0.306302
1.75261,9.82806,2.66667,1.08534,1.35749,5.82592,0.296553
1.318,9.74929,2.66667,1.06583,1.3547,5.79152,0.255128
1.67339,9.80042,2.66667,1.06072,1.35265,5.84695,0.263739
1.76881,10.0596,2.66667,1.09601,1.38201,5.99208,0.320917
1.12218,9.55719,2.66667,1.04108,1.34887,5.64715,0.278814
1.74495,9.67626,2.66667,1.05723,1.35219,5.73692,0.258406
2.37702,9.94774,2.66667,1.06907,1.37554,5.9405,0.24102
1.09158,9.78408,2.66667,1.06125,1.34893,5.82784,0.291468
2.17706,9.90644,2.66667,1.06824,1.35722,5.95007,0.285635
1.54462,9.76749,2.66667,1.05869,1.35206,5.81821,0.269357
2.81999,9.75557,2.66667,1.06359,1.3499,5.82079,0.207627
1.41073,9.84519,2.66667,1.06401,1.3542,5.89774,0.266209
2.27905,9.81973,2.66667,1.07769,1.34979,5.86424,0.247908
1.89672,9.80622,2.66667,1.08272,1.3546,5.81829,0.281148
1.66882,9.65393,2.66667,1.04736,1.35136,5.74509,0.229513
1.61078,9.72647,2.66667,1.07241,1.35522,5.75448,0.281343
1.94347,9.67045,2.66667,1.07309,1.34973,5.71238,0.334057
0.447898,9.49047,2.66667,1.0472,1.35569,5.54153,0.349478
0.989918,9.83584,2.66667,1.06478,1.36491,5.83799,0.311941
